,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"500,00",,,"500,00","0,00",0,0,0
1,11/7/2024,"500,00",,,"500,00","0,00",0,0,0
2,11/6/2024,"500,00",,,"500,00","0,00",0,0,0
3,11/5/2024,"500,00",,,"500,00","0,00",0,0,0
4,11/4/2024,"500,00",,,"500,00","0,00",0,0,0
5,11/1/2024,"500,00",,,"500,00","0,00",0,0,0
6,10/31/2024,"500,00",,,"500,00","0,00",0,0,0
7,10/30/2024,"500,00",,,"500,00","0,00",0,0,0
8,10/29/2024,"500,00",,,"500,00","0,00",0,0,0
9,10/28/2024,"500,00",,,"500,00","0,00",0,0,0
10,10/25/2024,"500,00",,,"500,00","0,00",0,0,0
11,10/24/2024,"500,00",,,"500,00","0,00",0,0,0
12,10/22/2024,"500,00",,,"500,00","0,00",0,0,0
13,10/21/2024,"500,00",,,"500,00","0,00",0,0,0
14,10/18/2024,"500,00",,,"500,00","0,00",0,0,0
15,12/29/2015,"500,00",,,"500,00","0,00",0,0,0
16,12/28/2015,"500,00",,,"500,00","0,00",0,0,0
17,12/25/2015,"500,00",,,"500,00","0,00",0,0,0
18,12/24/2015,"500,00",,,"500,00","0,00",0,0,0
19,12/23/2015,"500,00",,,"500,00","0,00",0,0,0
20,12/22/2015,"500,00",,,"500,00","0,00",0,0,0
21,12/21/2015,"500,00",,,"500,00","0,00",0,0,0
22,12/18/2015,"500,00",,,"500,00","0,00",0,0,0
23,12/17/2015,"500,00",,,"500,00","0,00",0,0,0
24,12/16/2015,"500,00",,,"500,00","0,00",0,0,0
25,12/15/2015,"500,00",,,"500,00","0,00",0,0,0
26,12/14/2015,"500,00",,,"500,00","0,00",0,0,0
27,12/11/2015,"500,00",,,"500,00","0,00",0,0,0
28,12/10/2015,"500,00",,,"500,00","0,00",0,0,0
29,12/9/2015,"500,00",,,"500,00","0,00",0,0,0
30,12/7/2015,"500,00",,,"500,00","0,00",0,0,0
31,12/4/2015,"500,00",,,"500,00","0,00",0,0,0
32,12/3/2015,"500,00",,,"500,00","0,00",0,0,0
33,12/1/2015,"500,00",,,"500,00","0,00",0,0,0
34,11/30/2015,"500,00",,,"500,00","0,00",0,0,0
35,11/27/2015,"500,00",,,"500,00","0,00",0,0,0
36,11/26/2015,"500,00",,,"500,00","0,00",0,0,0
37,11/25/2015,"500,00",,,"500,00","0,00",0,0,0
38,11/24/2015,"500,00",,,"500,00","0,00",0,0,0
39,11/23/2015,"500,00",,,"500,00","0,00",0,0,0
40,11/20/2015,"500,00",,,"500,00","0,00",0,0,0
41,11/19/2015,"500,00",,,"500,00","0,00",0,0,0
42,11/18/2015,"500,00",,,"500,00","0,00",0,0,0
43,11/17/2015,"500,00",,,"500,00","0,00",0,0,0
44,11/16/2015,"500,00",,,"500,00","0,00",0,0,0
45,11/13/2015,"500,00",,,"500,00","0,00",0,0,0
46,11/12/2015,"500,00",,,"500,00","0,00",0,0,0
47,11/11/2015,"500,00",,,"500,00","0,00",0,0,0
48,11/11/2015,"500,00",,,"500,00","0,00",0,0,0
