,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"8.000,00",,,"8.000,00","0,00",0,0,0
1,11/7/2024,"8.000,00","8.000,00","8.000,00","8.000,00","3,16",5,40.000,40.000
2,11/6/2024,"7.710,00",,,"7.754,83","0,00",0,0,0
3,11/5/2024,"7.710,00",,,"7.754,83","0,00",0,0,0
4,11/4/2024,"7.710,00",,,"7.754,83","0,00",0,0,315.276.500
5,11/1/2024,"7.710,00",,,"7.754,83","0,00",0,0,0
6,10/31/2024,"7.710,00","7.760,00","7.710,00","7.754,83","-3,06",290,2.248.900,2.248.900
7,10/30/2024,"8.000,00","8.000,00","8.000,00","8.000,00","2,59",14,112.000,564.161.710
8,10/29/2024,"7.900,00",,,"7.797,96","0,00",0,0,0
9,10/28/2024,"7.900,00",,,"7.797,96","0,00",0,0,0
10,10/25/2024,"7.900,00","7.900,00","7.700,00","7.797,96","1,63",392,3.056.800,37.868.200
11,10/24/2024,"7.800,00","7.800,00","7.650,00","7.673,19","-7,35",690,5.294.500,5.294.500
12,10/22/2024,"7.720,00",,,"8.282,33","0,00",0,0,9.047.000
13,10/21/2024,"7.720,00",,,"8.282,33","0,00",0,0,0
14,10/18/2024,"7.720,00","8.500,00","7.720,00","8.282,33","-2,56","15,158",125.543.620,125.543.620
15,10/17/2024,"8.500,00","8.500,00","8.500,00","8.500,00","-2,30",25,212.500,212.500
16,10/16/2024,"8.700,00","8.700,00","8.700,00","8.700,00","0,00",17,147.900,147.900
17,10/15/2024,"8.700,00","8.700,00","8.700,00","8.700,00","-3,33",3,26.100,26.100
18,10/14/2024,"9.000,00","9.000,00","9.000,00","9.000,00","0,00",17,153.000,153.000
19,10/10/2024,"9.000,00","9.000,00","9.000,00","9.000,00","1,15",36,324.000,6.784.000
20,10/9/2024,"9.000,00","9.000,00","8.751,00","8.897,47","-1,37",34,302.514,302.514
21,10/8/2024,"9.200,00","9.200,00","8.800,00","9.020,85","1,36",129,1.163.690,152.099.690
22,10/7/2024,"8.900,00","8.900,00","8.900,00","8.900,00","-2,00",20,178.000,144.692.500
23,10/4/2024,"9.100,00","9.100,00","8.610,00","9.081,30","4,81",562,5.103.690,33.756.990
24,10/3/2024,"8.680,00","8.680,00","8.500,00","8.664,50","0,63",329,2.850.620,27.962.140
25,10/2/2024,"8.610,00","8.610,00","8.610,00","8.610,00","1,27",45,387.450,4.467.450
26,10/1/2024,"8.570,00","8.570,00","8.480,00","8.501,89","0,02",953,8.102.300,74.670.300
27,9/30/2024,"8.500,00","8.500,00","8.499,00","8.499,94","2,12",722,6.136.955,48.290.655
28,9/27/2024,"8.400,00","8.400,00","8.200,00","8.323,88","2,06",278,2.314.040,2.314.040
29,9/26/2024,"8.103,00","8.343,00","8.100,00","8.156,06","0,69",193,1.574.119,1.574.119
30,9/25/2024,"8.100,00",,,"8.100,00","0,00",0,0,5.248.800
31,9/24/2024,"8.100,00","8.100,00","8.100,00","8.100,00","0,00",173,1.401.300,1.401.300
32,9/23/2024,"8.100,00","8.100,00","8.100,00","8.100,00","0,62",156,1.263.600,84.407.600
33,9/20/2024,"8.050,00","8.050,00","8.050,00","8.050,00","0,32",50,402.500,402.500
34,9/19/2024,"8.050,00","8.050,00","7.800,00","8.024,22","0,02",424,3.402.270,3.402.270
35,9/18/2024,"8.000,00",,,"8.022,87","0,00",0,0,0
36,9/17/2024,"8.000,00",,,"8.022,87","0,00",0,0,0
37,9/16/2024,"8.000,00",,,"8.022,87","0,00",0,0,0
38,9/13/2024,"8.000,00","8.050,00","7.990,00","8.022,87","-0,34",52,417.189,417.189
39,9/12/2024,"8.050,00",,,"8.050,00","0,00",0,0,0
40,9/11/2024,"8.050,00",,,"8.050,00","0,00",0,0,0
41,9/10/2024,"8.050,00",,,"8.050,00","0,00",0,0,0
42,9/6/2024,"8.050,00","8.050,00","8.050,00","8.050,00","1,90",361,2.906.050,2.906.050
43,9/5/2024,"7.900,00","7.900,00","7.900,00","7.900,00","2,49",22,173.800,173.800
44,9/4/2024,"7.700,00",,,"7.707,74","0,00",0,0,2.955.000
45,9/3/2024,"7.700,00",,,"7.707,74","0,00",0,0,0
46,9/2/2024,"7.700,00",,,"7.707,74","0,00",0,0,0
47,8/30/2024,"7.700,00",,,"7.707,74","0,00",0,0,0
48,8/29/2024,"7.700,00",,,"7.707,74","0,00",0,0,0
49,8/27/2024,"7.700,00","7.813,00","7.700,00","7.707,74","-1,35",73,562.665,562.665
50,8/26/2024,"7.750,00","7.830,00","7.750,00","7.813,16","2,38",190,1.484.500,1.484.500
51,8/23/2024,"7.725,00","7.725,00","7.503,00","7.631,23","1,75","1,419",10.828.720,13.101.220
52,8/22/2024,"7.500,00",,,"7.500,00","0,00",0,0,2.325.000
53,8/21/2024,"7.500,00",,,"7.500,00","0,00",0,0,0
54,8/20/2024,"7.500,00",,,"7.500,00","0,00",0,0,0
55,8/19/2024,"7.500,00",,,"7.500,00","0,00",0,0,0
56,8/16/2024,"7.500,00",,,"7.500,00","0,00",0,0,0
57,8/15/2024,"7.500,00",,,"7.500,00","0,00",0,0,10.500.000
58,8/14/2024,"7.500,00",,,"7.500,00","0,00",0,0,0
