,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
1,11/7/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
2,11/6/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
3,11/5/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
4,11/4/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
5,11/1/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
6,10/31/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
7,10/30/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
8,10/29/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
9,10/28/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
10,10/25/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
11,10/24/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
12,10/22/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
13,10/21/2024,"1.400,00",,,"1.400,00","0,00",0,0,5.000.100
14,10/18/2024,"1.400,00",,,"1.400,00","0,00",0,0,0
15,12/29/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
16,12/28/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
17,12/27/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
18,12/26/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
19,12/23/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
20,12/22/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
21,12/21/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
22,12/20/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
23,12/19/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
24,12/16/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
25,12/15/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
26,12/14/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
27,12/13/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
28,12/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
29,12/9/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
30,12/7/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
31,12/6/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
32,12/5/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
33,12/2/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
34,12/1/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
35,11/30/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
36,11/29/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
37,11/28/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
38,11/25/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
39,11/24/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
40,11/23/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
41,11/22/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
42,11/21/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
43,11/18/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
44,11/17/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
45,11/16/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
46,11/15/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
47,11/14/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
48,11/11/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
49,11/10/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
50,11/9/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
51,11/9/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
52,11/8/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
53,11/7/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
54,11/4/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
55,11/3/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
56,11/2/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
57,11/1/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
58,10/31/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
59,10/28/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
60,10/27/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
61,10/26/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
62,10/25/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
63,10/21/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
64,10/20/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
65,10/19/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
66,10/18/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
67,10/17/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
68,10/14/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
69,10/13/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
70,10/12/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
71,10/10/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
72,10/7/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
73,10/6/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
74,10/5/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
75,10/4/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
76,10/3/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
77,9/30/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
78,9/29/2022,"1.400,00",,,"1.400,00","0,00",0,0,0
