,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"135,00","135,00","135,00","135,00","0,00",678,91.530,91.530
1,11/7/2024,"135,00","135,00","135,00","135,00","1,76",988,133.380,133.380
2,11/6/2024,"132,00","133,00","132,00","132,66","-1,73",623,82.646,82.646
3,11/5/2024,"135,00",,,"135,00","0,00",0,0,0
4,11/4/2024,"135,00",,,"135,00","0,00",0,0,0
5,11/1/2024,"135,00","135,00","135,00","135,00","0,00",850,114.750,114.750
6,10/31/2024,"135,00",,,"135,00","0,00",0,0,0
7,10/30/2024,"135,00",,,"135,00","0,00",0,0,0
8,10/29/2024,"135,00","135,00","135,00","135,00","0,00",927,125.145,125.145
9,10/28/2024,"135,00",,,"135,00","0,00",0,0,0
10,10/25/2024,"135,00","135,00","135,00","135,00","0,00","2,513",339.255,339.255
11,10/24/2024,"135,00","135,00","135,00","135,00","1,50",950,128.250,128.250
12,10/22/2024,"133,00","133,00","133,00","133,00","-1,48",90,11.970,11.970
13,10/21/2024,"135,00",,,"135,00","0,00",0,0,0
14,10/18/2024,"135,00",,,"135,00","0,00",0,0,0
15,10/17/2024,"135,00","135,00","135,00","135,00","-0,47","1,000",135.000,135.000
16,10/16/2024,"135,00",,,"135,64","0,00",0,0,0
17,10/15/2024,"135,00",,,"135,64","0,00",0,0,0
18,10/14/2024,"135,00",,,"135,64","0,00",0,0,0
19,10/10/2024,"135,00",,,"135,64","0,00",0,0,0
20,10/9/2024,"135,00","136,00","135,00","135,64","-0,26",700,94.950,94.950
21,10/8/2024,"136,00",,,"136,00","0,00",0,0,0
22,10/7/2024,"136,00","136,00","136,00","136,00","0,00",250,34.000,34.000
23,10/4/2024,"136,00",,,"136,00","0,00",0,0,0
24,10/3/2024,"136,00","136,00","136,00","136,00","-1,90",100,13.600,13.600
25,10/2/2024,"140,00","140,00","137,00","138,63","-0,98","1,835",254.395,254.395
26,10/1/2024,"140,00","140,00","140,00","140,00","3,70",300,42.000,42.000
27,9/30/2024,"135,00",,,"135,00","0,00",0,0,0
28,9/27/2024,"135,00",,,"135,00","0,00",0,0,0
29,9/26/2024,"135,00",,,"135,00","0,00",0,0,0
30,9/25/2024,"135,00","135,00","135,00","135,00","2,27","1,740",234.900,234.900
31,9/24/2024,"132,00","132,00","132,00","132,00","0,00",120,15.840,15.840
32,9/23/2024,"132,00",,,"132,00","0,00",0,0,0
33,9/20/2024,"132,00",,,"132,00","0,00",0,0,0
34,9/19/2024,"132,00","132,00","132,00","132,00","-1,49",209,27.588,27.588
35,9/18/2024,"134,00","134,00","134,00","134,00","-2,88",190,25.460,25.460
36,9/17/2024,"139,00",,,"137,98","0,00",0,0,0
37,9/16/2024,"139,00",,,"137,98","0,00",0,0,0
38,9/13/2024,"139,00","139,00","136,00","137,98","2,21",440,60.710,60.710
39,9/12/2024,"135,00",,,"135,00","0,00",0,0,0
40,9/11/2024,"135,00",,,"135,00","0,00",0,0,0
41,9/10/2024,"135,00",,,"135,00","0,00",0,0,0
42,9/6/2024,"135,00","135,00","135,00","135,00","0,00",445,60.075,60.075
43,9/5/2024,"135,00","135,00","135,00","135,00","0,00",400,54.000,54.000
44,9/4/2024,"135,00",,,"135,00","0,00",0,0,0
45,9/3/2024,"135,00",,,"135,00","0,00",0,0,0
46,9/2/2024,"135,00",,,"135,00","0,00",0,0,0
47,8/30/2024,"135,00",,,"135,00","0,00",0,0,0
48,8/29/2024,"135,00","135,00","135,00","135,00","0,00",350,47.250,47.250
49,8/27/2024,"135,00","135,00","135,00","135,00","0,00",793,107.055,107.055
50,8/26/2024,"135,00",,,"135,00","0,00",0,0,0
