,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,,,,,,0,0,0
1,11/7/2024,,,,,,0,0,0
2,11/6/2024,,,,,,0,0,0
3,11/5/2024,,,,,,0,0,0
4,11/4/2024,,,,,,0,0,0
5,11/1/2024,,,,,,0,0,0
6,10/31/2024,,,,,,0,0,0
7,10/30/2024,,,,,,0,0,0
8,10/29/2024,,,,,,0,0,0
9,10/28/2024,,,,,,0,0,0
10,10/25/2024,,,,,,0,0,0
11,10/24/2024,,,,,,0,0,0
12,10/22/2024,,,,,,0,0,0
13,10/21/2024,,,,,,0,0,0
14,10/18/2024,,,,,,0,0,0
15,10/17/2024,,,,,,0,0,0
16,10/16/2024,,,,,,0,0,0
17,10/15/2024,,,,,,0,0,0
18,10/14/2024,,,,,,0,0,0
19,10/10/2024,,,,,,0,0,0
20,10/9/2024,,,,,,0,0,0
21,10/8/2024,,,,,,0,0,0
22,10/7/2024,,,,,,0,0,0
23,10/4/2024,,,,,,0,0,0
24,10/3/2024,,,,,,0,0,0
25,10/2/2024,,,,,,0,0,0
26,10/1/2024,,,,,,0,0,0
27,9/30/2024,,,,,,0,0,0
28,9/27/2024,,,,,,0,0,0
29,9/26/2024,,,,,,0,0,0
30,9/25/2024,,,,,,0,0,0
31,9/24/2024,,,,,,0,0,0
32,9/23/2024,,,,,,0,0,0
33,9/20/2024,,,,,,0,0,0
34,9/19/2024,,,,,,0,0,0
35,9/18/2024,,,,,,0,0,0
36,9/17/2024,,,,,,0,0,0
37,9/16/2024,,,,,,0,0,0
38,9/13/2024,,,,,,0,0,0
39,9/12/2024,,,,,,0,0,0
40,9/11/2024,,,,,,0,0,0
41,9/10/2024,,,,,,0,0,0
42,9/6/2024,,,,,,0,0,0
43,9/5/2024,,,,,,0,0,0
44,9/4/2024,,,,,,0,0,0
45,9/3/2024,,,,,,0,0,0
46,9/2/2024,,,,,,0,0,0
47,8/30/2024,,,,,,0,0,0
48,8/29/2024,,,,,,0,0,0
49,8/27/2024,,,,,,0,0,0
50,8/26/2024,,,,,,0,0,0
51,8/23/2024,,,,,,0,0,0
52,8/22/2024,,,,,,0,0,0
53,8/21/2024,,,,,,0,0,0
54,8/20/2024,,,,,,0,0,0
55,8/19/2024,,,,,,0,0,0
56,8/16/2024,,,,,,0,0,0
57,8/15/2024,,,,,,0,0,0
58,8/14/2024,,,,,,0,0,0
59,8/13/2024,,,,,,0,0,0
60,8/12/2024,,,,,,0,0,0
61,8/9/2024,,,,,,0,0,0
62,8/8/2024,,,,,,0,0,0
63,8/7/2024,,,,,,0,0,0
64,8/6/2024,,,,,,0,0,0
65,8/5/2024,,,,,,0,0,0
66,8/1/2024,,,,,,0,0,0
67,7/31/2024,,,,,,0,0,0
68,7/30/2024,,,,,,0,0,0
69,7/29/2024,,,,,,0,0,0
70,7/26/2024,,,,,,0,0,0
71,7/25/2024,,,,,,0,0,0
72,7/24/2024,,,,,,0,0,0
73,7/23/2024,,,,,,0,0,0
74,7/22/2024,,,,,,0,0,0
75,7/19/2024,,,,,,0,0,0
76,7/18/2024,,,,,,0,0,0
77,7/17/2024,,,,,,0,0,0
78,7/16/2024,,,,,,0,0,0
79,7/15/2024,,,,,,0,0,0
80,7/12/2024,,,,,,0,0,0
81,7/11/2024,,,,,,0,0,0
82,7/10/2024,,,,,,0,0,0
83,7/9/2024,,,,,,0,0,0
84,7/8/2024,,,,,,0,0,0
85,7/5/2024,,,,,,0,0,0
86,7/4/2024,,,,,,0,0,0
87,7/3/2024,,,,,,0,0,0
88,7/2/2024,,,,,,0,0,0
89,7/1/2024,,,,,,0,0,0
90,6/28/2024,,,,,,0,0,0
91,6/27/2024,,,,,,0,0,0
92,6/26/2024,,,,,,0,0,0
93,6/25/2024,,,,,,0,0,0
94,6/24/2024,,,,,,0,0,0
95,6/20/2024,,,,,,0,0,0
96,6/19/2024,,,,,,0,0,0
97,6/18/2024,,,,,,0,0,0
98,6/17/2024,,,,,,0,0,0
99,6/14/2024,,,,,,0,0,0
100,6/13/2024,,,,,,0,0,0
101,6/12/2024,,,,,,0,0,0
102,6/11/2024,,,,,,0,0,0
103,6/10/2024,,,,,,0,0,0
104,6/7/2024,,,,,,0,0,0
105,6/6/2024,,,,,,0,0,0
106,6/5/2024,,,,,,0,0,0
107,6/4/2024,,,,,,0,0,0
108,6/3/2024,,,,,,0,0,0
109,5/31/2024,,,,,,0,0,0
110,5/30/2024,,,,,,0,0,0
111,5/29/2024,,,,,,0,0,0
112,5/28/2024,,,,,,0,0,0
113,5/27/2024,,,,,,0,0,0
114,5/23/2024,,,,,,0,0,0
115,5/22/2024,,,,,,0,0,0
