Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
11/29/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/28/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/27/2024,"36.900,00",,,"36.900,00","0,00",0,0,5.535.000
11/26/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/25/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/22/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/21/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/20/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/19/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/18/2024,"36.900,00",,,"36.900,00","0,00",0,0,0
11/15/2024,"36.900,00","36.900,00","36.900,00","36.900,00",,50,1.845.000,1.845.000
11/14/2024,,,,,,0,0,0
11/13/2024,,,,,,0,0,0
