Date,LastTradePrice,Max,Min,AvgPrice,%chg,Volume,TurnoverBestMKD,TotalTurnoverMKD
12/27/2024,"16,00",,,"16,00","0,00",0,0,0
12/27/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/26/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/25/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/24/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/23/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/20/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/19/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/18/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/17/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/16/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/13/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/12/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/11/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/10/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/6/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/5/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/4/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/3/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
12/2/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/29/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/28/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/27/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/26/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/25/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/22/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/21/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/20/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/19/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/18/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/15/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/14/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/13/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/12/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/11/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/8/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/7/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/6/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/5/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/4/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
11/1/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/31/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/30/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/29/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/28/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/25/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/24/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/22/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/21/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/18/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/17/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/16/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/15/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/14/2024,"16,00","16,00","16,00","16,00","0,00","2,700",43.2,43.2
10/10/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/9/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/8/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/7/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/4/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/3/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
10/2/2024,"16,00","16,00","16,00","16,00","0,00",449,7.184,7.184
10/1/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
9/30/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
9/27/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
9/26/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
9/25/2024,"16,00",,,"16,00","0,00",0,0.0,0.0
9/24/2024,"16,00","16,00","16,00","16,00","-15,79",349,5.584,5.584
9/23/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/20/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/19/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/18/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/17/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/16/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/13/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/12/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/11/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/10/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/6/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/5/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/4/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/3/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
9/2/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/30/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/29/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/27/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/26/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/23/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/22/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/21/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/20/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/19/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/16/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/15/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/14/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/13/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/12/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/9/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/8/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/7/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/6/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/5/2024,"19,00",,,"19,00","0,00",0,0.0,0.0
8/1/2024,"19,00","19,00","19,00","19,00","-5,00",120,2.28,2.28
7/31/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/30/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/29/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/26/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/25/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/24/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/23/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/22/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/19/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/18/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/17/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/16/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/15/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/12/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/11/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/10/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/9/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/8/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/5/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/4/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/3/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/2/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
7/1/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/28/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/27/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/26/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/25/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/24/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/20/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/19/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/18/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/17/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/14/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/13/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/12/2024,"20,00",,,"20,00","0,00",0,0.0,0.0
6/11/2024,"20,00","20,00","20,00","20,00","-56,52",300,6.0,6.0
6/10/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
6/7/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
6/6/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
6/5/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
6/4/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
6/3/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/31/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/30/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/29/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/28/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/27/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/23/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/22/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/21/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/20/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/17/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/16/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/15/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/14/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/13/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/10/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/9/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/7/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
5/2/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/30/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/29/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/26/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/25/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/23/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/22/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/19/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/18/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/17/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/16/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/15/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/12/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/11/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/9/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/8/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/5/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/4/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/3/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
4/2/2024,"46,00",,,"46,00","0,00",0,0.0,0.0
