Index,Date
70723,2024-12-27 14:06:00
70722,2024-12-27 14:06:00
70721,2024-12-27 14:05:00
70720,2024-12-27 14:05:00
70719,2024-12-27 09:41:00
70718,2024-12-27 09:40:00
70717,2024-12-27 09:15:00
70716,2024-12-27 09:14:53
70713,2024-12-26 14:07:00
70712,2024-12-26 14:06:00
70711,2024-12-25 15:43:00
70710,2024-12-25 15:42:03
70709,2024-12-25 15:36:00
70708,2024-12-25 15:28:00
70707,2024-12-25 15:35:15
70706,2024-12-25 15:27:30
70705,2024-12-25 15:14:00
70704,2024-12-25 15:03:00
70703,2024-12-25 15:13:47
70702,2024-12-25 15:02:37
70701,2024-12-25 14:06:00
70700,2024-12-25 14:06:00
70699,2024-12-25 14:06:00
70698,2024-12-25 14:05:00
70697,2024-12-25 14:05:00
70696,2024-12-25 14:05:00
70695,2024-12-25 08:51:00
70694,2024-12-25 08:51:00
70693,2024-12-25 08:50:20
70691,2024-12-25 08:50:15
70689,2024-12-24 15:01:00
70688,2024-12-24 14:06:00
70687,2024-12-24 14:05:00
70686,2024-12-24 15:00:00
70685,2024-12-20 15:01:00
70684,2024-12-20 14:37:00
70683,2024-12-20 14:36:02
70682,2024-12-20 14:06:00
70681,2024-12-20 14:05:00
70680,2024-12-20 15:00:00
70679,2024-12-20 09:29:00
70678,2024-12-20 09:28:21
70677,2024-12-20 09:19:00
70676,2024-12-20 09:18:54
70675,2024-12-19 15:07:00
70674,2024-12-19 14:06:00
70673,2024-12-19 14:06:00
70672,2024-12-19 14:06:00
70671,2024-12-19 15:06:22
70670,2024-12-19 14:05:00
70669,2024-12-19 14:05:00
70668,2024-12-19 14:05:00
70667,2024-12-18 14:06:00
70666,2024-12-18 14:05:00
70665,2024-12-18 09:30:00
70664,2024-12-18 09:30:00
70663,2024-12-18 08:40:00
70662,2024-12-18 08:39:40
70661,2024-12-17 14:07:00
70660,2024-12-17 14:07:00
70659,2024-12-17 14:06:00
70658,2024-12-17 14:06:00
70657,2024-12-16 15:27:00
70656,2024-12-16 15:26:00
70655,2024-12-16 15:26:16
70653,2024-12-16 15:25:31
70652,2024-12-13 14:30:00
70651,2024-12-13 14:30:00
70650,2024-12-13 09:09:00
70649,2024-12-13 09:09:00
70648,2024-12-13 09:08:33
70647,2024-12-13 09:08:26
70646,2024-12-12 14:10:00
70645,2024-12-12 14:06:00
70644,2024-12-12 14:06:00
70643,2024-12-12 14:09:27
70642,2024-12-12 14:05:00
70641,2024-12-12 14:05:00
70640,2024-12-12 08:35:40
70639,2024-12-12 08:35:36
70637,2024-12-11 15:14:00
70636,2024-12-11 15:13:00
70635,2024-12-11 15:13:02
70634,2024-12-11 15:12:34
70633,2024-12-11 14:21:00
70632,2024-12-11 14:17:00
70631,2024-12-11 14:20:00
70630,2024-12-11 14:16:29
70626,2024-12-10 14:45:00
70625,2024-12-10 14:44:00
70624,2024-12-10 14:44:10
70623,2024-12-10 14:43:53
70622,2024-12-10 14:02:00
70621,2024-12-10 14:02:00
70620,2024-12-10 14:01:01
70619,2024-12-10 14:01:07
70618,2024-12-06 14:06:00
70617,2024-12-06 14:05:00
70616,2024-12-06 09:11:00
70615,2024-12-06 09:10:40
70614,2024-12-04 14:36:00
70613,2024-12-04 14:36:00
70612,2024-12-04 14:35:00
70611,2024-12-04 14:35:00
70610,2024-12-04 14:35:28
70609,2024-12-04 14:35:05
70608,2024-12-04 14:34:00
70607,2024-12-04 14:34:00
70606,2024-12-04 14:34:39
70605,2024-12-04 14:33:00
70604,2024-12-04 14:34:11
70603,2024-12-04 14:32:00
70602,2024-12-04 14:33:33
70601,2024-12-04 14:33:06
70600,2024-12-04 14:32:33
70599,2024-12-04 14:31:50
70598,2024-12-03 15:13:00
70597,2024-12-03 14:06:00
70596,2024-12-03 15:12:53
70595,2024-12-03 14:05:00
70594,2024-12-02 15:14:00
70593,2024-12-02 15:13:11
70592,2024-12-02 14:06:00
70591,2024-12-02 14:06:00
70590,2024-12-02 14:05:00
70589,2024-12-02 14:05:00
70588,2024-11-29 14:05:00
70586,2024-11-29 14:04:32
70585,2024-11-29 14:03:55
70584,2024-11-29 14:03:48
70583,2024-11-29 09:31:00
70582,2024-11-29 09:31:00
70581,2024-11-29 09:30:00
70580,2024-11-29 09:30:00
70577,2024-11-27 14:07:00
