Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-04,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-05,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-06,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-07,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-08,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-11,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-12,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-13,18001.0,,,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
2015-05-14,18001.0,18001.0,18001.0,0.0,,,0.0,0.0,,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0,18001.0
