Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-04,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-05,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-06,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-07,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-08,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-11,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-12,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-13,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-14,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-15,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-18,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-19,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-20,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-21,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-22,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-26,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-27,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-05-28,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-01,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-02,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-03,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-04,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-05,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-08,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-09,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-10,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-11,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-12,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-15,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-16,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-17,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-18,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-19,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-22,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-23,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-24,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-25,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
2015-06-26,9785.0,,,0.0,,,0.0,0.0,,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0,9785.0
