Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-04,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-05,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-06,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-07,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-08,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-11,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-12,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-13,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-14,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-15,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-18,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-19,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-20,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-21,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-22,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-26,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-27,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-05-28,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-01,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-02,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-03,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-04,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-05,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-08,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-09,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-10,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-11,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-12,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-15,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-16,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-17,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-18,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-19,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-22,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-23,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-24,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-25,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-26,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-29,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-06-30,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-01,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-02,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-03,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-06,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-07,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-08,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-09,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-10,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-13,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-14,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
2015-07-15,6984.0,,,0.0,,,0.0,0.0,,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0,6984.0
