Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,3700.0,,,41.07040427713162,,,0.0,0.0,,3700.0,3700.0,3700.0666666666666,3700.0000000093532,3700.7943365089614,3713.167546968896,3700.0,3700.0,3700.0,3699.538353705358,3699.538353705358,3699.538353705358,3700.6653435293215,3700.6653435293215,3700.6653435293215
2015-05-04,3700.0,,,41.07040427713162,,,0.0,0.0,,3700.0,3700.0,3700.0666666666666,3700.0000000046766,3700.695044324633,3712.727255826384,3700.0,3700.0,3700.0,3699.6085686308857,3699.6085686308857,3699.6085686308857,3700.601820553966,3700.601820553966,3700.601820553966
2015-05-05,3700.0,,,41.07040427713163,,,0.0,0.0,,3700.0,3700.0,3700.0666666666666,3700.0000000023383,3700.6081636916365,3712.302188343448,3700.0,3700.0,3700.0,3699.6685118907553,3699.6685118907553,3699.6685118907553,3700.5414431204117,3700.5414431204117,3700.5414431204117
2015-05-06,3700.0,,,41.07040427713162,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.000000001169,3700.5321431594252,3711.8917852675413,3700.0,3700.0,3700.0,3699.7195974815527,3699.7195974815527,3699.7195974815527,3700.4847962182625,3700.4847962182625,3700.4847962182625
2015-05-07,3700.0,,,41.07040427713162,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.000000000585,3700.4656252103237,3711.495510043893,3700.0,3700.0,3700.0,3699.763064778481,3699.763064778481,3699.763064778481,3700.4322156033363,3700.4322156033363,3700.4322156033363
2015-05-08,3700.0,3700.0,3700.0,41.07040427713163,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.0000000002924,3700.4074220175567,3711.1128477549214,3700.0,3700.0,3700.0,3699.7999952903588,3699.7999952903588,3699.7999952903588,3700.3838468215395,3700.3838468215395,3700.3838468215395
2015-05-11,3700.0,,,41.07040427713163,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.0000000001464,3700.3564942336066,3710.743304118012,3700.0,3700.0,3700.0,3699.8313290944966,3699.8313290944966,3699.8313290944966,3700.3396932391893,3700.3396932391893,3700.3396932391893
2015-05-12,3700.0,,,41.07040427713163,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.000000000073,3700.3119324300933,3710.386404537899,3700.0,3700.0,3700.0,3699.8578805139773,3699.8578805139773,3699.8578805139773,3700.2996547207304,3700.2996547207304,3700.2996547207304
2015-05-13,3700.0,,,41.07040427713163,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.0000000000364,3700.272940857717,3710.0416932101734,3700.0,3700.0,3700.0,3699.880352769532,3699.880352769532,3699.880352769532,3700.263558435143,3700.263558435143,3700.263558435143
2015-05-14,3700.0,,,41.07040427713162,,,0.0,0.0,,3700.0,3700.0,3700.0,3700.000000000018,3700.2388232362505,3709.7087322726925,3700.0,3700.0,3700.0,3699.899351460621,3699.899351460621,3699.899351460621,3700.231183103281,3700.231183103281,3700.231183103281
