Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2023-04-06,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000157446997,773.089942713838,773.0,773.0,773.0,772.9999987205598,772.9999987205598,772.9999987205598,773.0000088223303,773.0000088223303,773.0000088223303
2023-04-07,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000137766098,773.0869352455275,773.0,773.0,773.0,772.9999989411442,772.9999989411442,772.9999989411442,773.0000073987483,773.0000073987483,773.0000073987483
2023-04-10,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000120545318,773.0840317644866,773.0,773.0,773.0,772.9999991238114,772.9999991238114,772.9999991238114,773.0000062029765,773.0000062029765,773.0000062029765
2023-04-11,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000105477139,773.0812284506649,773.0,773.0,773.0,772.9999992750578,772.9999992750578,772.9999992750578,773.0000051989099,773.0000051989099,773.0000051989099
2023-04-12,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000092292486,773.0785216390525,773.0,773.0,773.0,772.9999994002704,772.9999994002704,772.9999994002704,773.0000043560999,773.0000043560999,773.0000043560999
2023-04-13,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000080755917,773.075907812435,773.0,773.0,773.0,772.9999995039162,772.9999995039162,772.9999995039162,773.000003648883,773.000003648883,773.000003648883
2023-04-18,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000070661421,773.0733835945481,773.0,773.0,773.0,772.9999995896985,772.9999995896985,772.9999995896985,773.0000030556358,773.0000030556358,773.0000030556358
2023-04-19,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000061828739,773.0709457436045,773.0,773.0,773.0,772.9999996606865,772.9999996606865,772.9999996606865,773.0000025581462,773.0000025581462,773.0000025581462
2023-04-20,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000054100143,773.0685911461704,773.0,773.0,773.0,772.9999997194245,772.9999997194245,772.9999997194245,773.0000021410874,773.0000021410874,773.0000021410874
2023-04-24,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000047337622,773.0663168113691,773.0,773.0,773.0,772.9999997680202,772.9999997680202,772.9999997680202,773.0000017915585,773.0000017915585,773.0000017915585
2023-04-25,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000041420417,773.0641198653913,773.0,773.0,773.0,772.9999998082199,772.9999998082199,772.9999998082199,773.0000014987119,773.0000014987119,773.0000014987119
2023-04-26,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000036242863,773.0619975462932,773.0,773.0,773.0,772.9999998414703,772.9999998414703,772.9999998414703,773.0000012534233,773.0000012534233,773.0000012534233
2023-04-27,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000031712503,773.0599471990647,773.0,773.0,773.0,772.9999998689696,772.9999998689696,772.9999998689696,773.000001048028,773.000001048028,773.000001048028
2023-04-28,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000027748439,773.057966270951,773.0,773.0,773.0,772.9999998917095,772.9999998917095,772.9999998917095,773.0000008760825,773.0000008760825,773.0000008760825
2023-05-02,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000024279884,773.0560523070136,773.0,773.0,773.0,772.9999999105122,772.9999999105122,772.9999999105122,773.0000007321789,773.0000007321789,773.0000007321789
2023-05-03,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000021244898,773.0542029459143,773.0,773.0,773.0,772.9999999260572,772.9999999260572,772.9999999260572,773.0000006117738,773.0000006117738,773.0000006117738
2023-05-04,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000018589286,773.0524159159107,773.0,773.0,773.0,772.9999999389078,772.9999999389078,772.9999999389078,773.0000005110563,773.0000005110563,773.0000005110563
2023-05-05,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000016265625,773.050689031051,773.0,773.0,773.0,772.99999994953,772.99999994953,772.99999994953,773.0000004268283,773.0000004268283,773.0000004268283
2023-05-08,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000014232421,773.0490201875547,773.0,773.0,773.0,772.9999999583091,772.9999999583091,772.9999999583091,773.0000003564062,773.0000003564062,773.0000003564062
2023-05-09,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000012453369,773.047407360371,773.0,773.0,773.0,772.9999999655641,772.9999999655641,772.9999999655641,773.0000002975404,773.0000002975404,773.0000002975404
2023-05-10,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000010896697,773.0458485999022,773.0,773.0,773.0,772.9999999715593,772.9999999715593,772.9999999715593,773.0000002483473,773.0000002483473,773.0000002483473
2023-05-11,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000009534609,773.0443420288854,773.0,773.0,773.0,772.9999999765129,772.9999999765129,772.9999999765129,773.0000002072466,773.0000002072466,773.0000002072466
2023-05-12,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000008342782,773.042885839421,773.0,773.0,773.0,772.9999999806053,772.9999999806053,772.9999999806053,773.0000001729131,773.0000001729131,773.0000001729131
2023-05-15,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000007299934,773.0414782901431,773.0,773.0,773.0,772.999999983986,772.999999983986,772.999999983986,773.0000001442407,773.0000001442407,773.0000001442407
2023-05-16,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000006387443,773.0401177035199,773.0,773.0,773.0,772.9999999867784,772.9999999867784,772.9999999867784,773.0000001202999,773.0000001202999,773.0000001202999
2023-05-17,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000005589012,773.0388024632808,773.0,773.0,773.0,772.9999999890847,772.9999999890847,772.9999999890847,773.0000001003139,773.0000001003139,773.0000001003139
2023-05-18,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000004890385,773.0375310119621,773.0,773.0,773.0,772.9999999909895,772.9999999909895,772.9999999909895,773.0000000836336,773.0000000836336,773.0000000836336
2023-05-19,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000004279087,773.0363018485627,773.0,773.0,773.0,772.9999999925625,772.9999999925625,772.9999999925625,773.0000000697142,773.0000000697142,773.0000000697142
2023-05-22,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000003744201,773.0351135263085,773.0,773.0,773.0,772.9999999938614,772.9999999938614,772.9999999938614,773.0000000581019,773.0000000581019,773.0000000581019
2023-05-23,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000003276176,773.0339646505151,773.0,773.0,773.0,772.9999999949338,772.9999999949338,772.9999999949338,773.0000000484157,773.0000000484157,773.0000000484157
2023-05-25,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000002866655,773.0328538765476,773.0,773.0,773.0,772.9999999958193,772.9999999958193,772.9999999958193,773.0000000403372,773.0000000403372,773.0000000403372
2023-05-26,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000002508323,773.031779907869,773.0,773.0,773.0,772.9999999965501,772.9999999965501,772.9999999965501,773.0000000336009,773.0000000336009,773.0000000336009
2023-05-29,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000002194782,773.030741494176,773.0,773.0,773.0,772.9999999971534,772.9999999971534,772.9999999971534,773.0000000279853,773.0000000279853,773.0000000279853
2023-05-30,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000001920434,773.029737429615,773.0,773.0,773.0,772.9999999976512,772.9999999976512,772.9999999976512,773.000000023304,773.000000023304,773.000000023304
2023-05-31,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.000000168038,773.0287665510758,773.0,773.0,773.0,772.9999999980623,772.9999999980623,772.9999999980623,773.0000000194033,773.0000000194033,773.0000000194033
2023-06-01,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000001470333,773.0278277365586,773.0,773.0,773.0,772.9999999984014,772.9999999984014,772.9999999984014,773.0000000161532,773.0000000161532,773.0000000161532
2023-06-05,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000001286542,773.026919903611,773.0,773.0,773.0,772.9999999986815,772.9999999986815,772.9999999986815,773.0000000134453,773.0000000134453,773.0000000134453
2023-06-06,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000001125724,773.026042007831,773.0,773.0,773.0,772.9999999989125,772.9999999989125,772.9999999989125,773.0000000111899,773.0000000111899,773.0000000111899
2023-06-07,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000985008,773.0251930414339,773.0,773.0,773.0,772.9999999991031,772.9999999991031,772.9999999991031,773.0000000093113,773.0000000093113,773.0000000093113
2023-06-08,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000861882,773.0243720318774,773.0,773.0,773.0,772.9999999992604,772.9999999992604,772.9999999992604,773.0000000077472,773.0000000077472,773.0000000077472
2023-06-09,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000754146,773.0235780405465,773.0,773.0,773.0,772.99999999939,772.99999999939,772.99999999939,773.0000000064446,773.0000000064446,773.0000000064446
2023-06-12,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000659877,773.0228101614905,773.0,773.0,773.0,772.999999999497,772.999999999497,772.999999999497,773.0000000053606,773.0000000053606,773.0000000053606
2023-06-13,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000577393,773.0220675202135,773.0,773.0,773.0,772.9999999995852,772.9999999995852,772.9999999995852,773.0000000044577,773.0000000044577,773.0000000044577
2023-06-14,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000505219,773.0213492725131,773.0,773.0,773.0,772.999999999658,772.999999999658,772.999999999658,773.000000003707,773.000000003707,773.000000003707
2023-06-15,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000442067,773.0206546033673,773.0,773.0,773.0,772.999999999718,772.999999999718,772.999999999718,773.0000000030819,773.0000000030819,773.0000000030819
2023-06-16,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000386808,773.0199827258657,773.0,773.0,773.0,772.9999999997675,772.9999999997675,772.9999999997675,773.0000000025617,773.0000000025617,773.0000000025617
2023-06-19,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000338457,773.0193328801837,773.0,773.0,773.0,772.9999999998082,772.9999999998082,772.9999999998082,773.0000000021292,773.0000000021292,773.0000000021292
2023-06-20,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000296151,773.018704332598,773.0,773.0,773.0,772.9999999998419,772.9999999998419,772.9999999998419,773.0000000017698,773.0000000017698,773.0000000017698
2023-06-21,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000259132,773.0180963745406,773.0,773.0,773.0,772.9999999998697,772.9999999998697,772.9999999998697,773.0000000014707,773.0000000014707,773.0000000014707
2023-06-22,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.000000022674,773.0175083216909,773.0,773.0,773.0,772.9999999998926,772.9999999998926,772.9999999998926,773.0000000012218,773.0000000012218,773.0000000012218
2023-06-23,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000198398,773.0169395131029,773.0,773.0,773.0,772.9999999999114,772.9999999999114,772.9999999999114,773.0000000010151,773.0000000010151,773.0000000010151
2023-06-26,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000173599,773.0163893103664,773.0,773.0,773.0,772.9999999999269,772.9999999999269,772.9999999999269,773.0000000008432,773.0000000008432,773.0000000008432
2023-06-27,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000151899,773.0158570968018,773.0,773.0,773.0,772.9999999999396,772.9999999999396,772.9999999999396,773.0000000007003,773.0000000007003,773.0000000007003
2023-06-28,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000132912,773.0153422766842,773.0,773.0,773.0,772.9999999999502,772.9999999999502,772.9999999999502,773.0000000005817,773.0000000005817,773.0000000005817
2023-06-29,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000116298,773.0148442744998,773.0,773.0,773.0,772.999999999959,772.999999999959,772.999999999959,773.0000000004832,773.0000000004832,773.0000000004832
2023-06-30,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000101761,773.0143625342282,773.0,773.0,773.0,772.9999999999662,772.9999999999662,772.9999999999662,773.0000000004011,773.0000000004011,773.0000000004011
2023-07-03,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000089041,773.0138965186549,773.0,773.0,773.0,772.9999999999721,772.9999999999721,772.9999999999721,773.0000000003331,773.0000000003331,773.0000000003331
2023-07-04,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000077911,773.0134457087069,773.0,773.0,773.0,772.999999999977,772.999999999977,772.999999999977,773.0000000002763,773.0000000002763,773.0000000002763
2023-07-05,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000068172,773.013009602816,773.0,773.0,773.0,772.9999999999811,772.9999999999811,772.9999999999811,773.000000000229,773.000000000229,773.000000000229
2023-07-06,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.000000005965,773.0125877163047,773.0,773.0,773.0,772.9999999999844,772.9999999999844,772.9999999999844,773.0000000001905,773.0000000001905,773.0000000001905
2023-07-07,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.0000000052195,773.0121795807946,773.0,773.0,773.0,772.9999999999872,772.9999999999872,772.9999999999872,773.0000000001578,773.0000000001578,773.0000000001578
2023-07-10,773.0,,,0.0,,,0.0,0.0,,773.0,773.0,773.0,773.0,773.000000004567,773.011784743639,773.0,773.0,773.0,772.9999999999893,772.9999999999893,772.9999999999893,773.0000000001307,773.0000000001307,773.0000000001307
