Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,23200.0,23100.0,23990.0,39.300603954586634,17.894512064915634,43.323691754184985,-2.5210084033613467,-600.0,-70.46764894298526,23200.0,23687.14285714286,23849.266666666666,23201.971150396217,23684.540521877523,24020.644752312404,23590.6,23590.6,23590.6,23348.399008735047,23348.399008735047,23348.399008735047,23171.966149102096,23171.966149102096,23171.966149102096
2015-05-04,24000.0,24000.0,24329.0,52.761101422245005,36.408298717292695,31.642987801292183,0.0,0.0,-20.69182389937107,24000.0,23675.714285714286,23845.966666666667,23600.98557519811,23723.973004580348,24019.95444138327,23634.036363636365,23634.036363636365,23634.036363636365,23528.02449633138,23528.02449633138,23528.02449633138,23469.484066389625,23469.484066389625,23469.484066389625
2015-05-05,24299.0,24100.0,24329.0,56.63200186008396,68.98457823493781,41.09579633904869,1.2458333333333238,299.0,-1.8867924528301887,24299.0,23697.0,23855.933333333334,23949.992787599054,23795.851455466727,24029.27406179821,23731.836363636365,23731.836363636365,23731.836363636365,23762.715128645246,23762.715128645246,23762.715128645246,23812.324753484667,23812.324753484667,23812.324753484667
2015-05-06,24199.0,23105.0,24199.0,55.00849003221511,89.74842767295597,65.04710154172881,1.6721986471156747,398.0,-8.176100628930817,24199.0,23689.714285714286,23862.9,24074.496393799527,23846.245070437726,24034.936147693377,23806.01818181818,23806.01818181818,23806.01818181818,23904.492655115013,23904.492655115013,23904.492655115013,23998.629138144533,23998.629138144533,23998.629138144533
2015-05-07,23671.0,23670.0,24399.0,47.29841298072759,82.02722841049733,80.25341143946368,-1.6985049833887045,-409.0,-43.855421686746986,23671.0,23603.428571428572,23853.9,23872.748196899764,23824.33941879273,24022.8085423695,23776.963636363635,23776.963636363635,23776.963636363635,23834.59190324387,23834.59190324387,23834.59190324387,23881.868679678224,23881.868679678224,23881.868679678224
2015-05-08,24390.0,24390.0,24390.0,56.284044768501175,82.47543633654112,84.75036413999811,0.9937888198757738,240.0,-0.5421686746987951,24390.0,23786.285714285714,23868.566666666666,24131.37409844988,23895.047041830796,24035.031603645704,23886.072727272727,23886.072727272727,23886.072727272727,24020.07679155347,24020.07679155347,24020.07679155347,24126.016555626407,24126.016555626407,24126.016555626407
2015-05-11,24397.0,24305.0,24479.0,56.36205347262446,83.62992198679775,82.71086224461203,0.6061855670103089,147.0,-4.71264367816092,24397.0,24022.285714285714,23883.8,24264.18704922494,23957.7912007252,24047.06840290589,23992.090909090908,23992.090909090908,23992.090909090908,24158.78727739532,24158.78727739532,24158.78727739532,24288.776670292213,24288.776670292213,24288.776670292213
2015-05-12,24400.0,24350.0,24479.0,56.39796366746251,96.73498592069427,87.61344808134434,0.5149330587023604,125.0,-4.540229885057472,24400.0,24193.714285714286,23898.8,24332.09352461247,24013.067330792885,24058.79302108926,24095.98181818182,24095.98181818182,24095.98181818182,24260.509593458202,24260.509593458202,24260.509593458202,24392.22644338145,24392.22644338145,24392.22644338145
2015-05-13,24399.0,24202.0,24399.0,56.38130838378041,95.38314176245211,91.916016556648,5.577672003461709,1289.0,-4.597701149425288,24399.0,24250.714285714286,23913.8,24365.546762306236,24061.30893747407,24070.084050528163,24197.418181818182,24197.418181818182,24197.418181818182,24332.885372195895,24332.885372195895,24332.885372195895,24452.674545370206,24452.674545370206,24452.674545370206
2015-05-14,24127.0,24010.0,24200.0,51.892350402540664,90.21072796934867,94.10961855083166,6.076060672675321,1382.0,-20.229885057471265,24127.0,24226.14285714286,23928.033333333333,24246.273381153118,24069.520323719877,24071.97126093154,24225.963636363635,24225.963636363635,24225.963636363635,24293.603525823743,24293.603525823743,24293.603525823743,24361.32129918023,24361.32129918023,24361.32129918023
2015-05-15,24010.0,23949.0,24150.0,50.04654409975016,82.73946360153258,89.44444444444441,3.491379310344822,810.0,-26.95402298850575,24010.0,24199.14285714286,23929.066666666666,24128.13669057656,24062.080280535516,24069.918274522348,24208.109090909093,24208.109090909093,24208.109090909093,24223.12217326639,24223.12217326639,24223.12217326639,24239.778138145994,24239.778138145994,24239.778138145994
2015-05-18,23899.0,23600.0,23899.0,48.29154973730568,73.1609195402299,82.03703703703701,-0.42083333333333695,-101.0,-33.333333333333336,23899.0,24231.714285714286,23925.733333333334,24013.56834528828,24041.69523894909,24064.261008774545,24155.345454545455,24155.345454545455,24155.345454545455,24132.200865413404,24132.200865413404,24132.200865413404,24103.428315694273,24103.428315694273,24103.428315694273
2015-05-19,23499.0,23302.0,23550.0,42.506833238199825,61.06530644712248,72.32189652962828,-3.292316556236885,-800.0,-56.516724336793544,23499.0,24104.428571428572,23913.7,23756.28417264414,23973.85831509696,24045.56702147912,24031.69090909091,24031.69090909091,24031.69090909091,23931.39566377914,23931.39566377914,23931.39566377914,23829.237093321823,23829.237093321823,23829.237093321823
2015-05-20,23300.0,23100.0,23300.0,39.94333497323413,41.551068521366965,58.59243150290641,-3.7150295466754857,-899.0,-85.4967367657723,23300.0,23947.714285714286,23897.033333333333,23528.14208632207,23889.626005084705,24020.930096043452,23886.4,23886.4,23886.4,23716.89315148582,23716.89315148582,23716.89315148582,23557.510111750584,23557.510111750584,23557.510111750584
2015-05-21,23000.0,22949.0,23000.0,36.381246416877175,20.43995741025585,41.01877745958172,-2.8346922394491103,-671.0,-96.66666666666666,23000.0,23747.714285714286,23866.7,23264.071043161035,23778.422730623526,23987.22043429797,23702.909090909092,23702.909090909092,23702.909090909092,23460.34541510812,23460.34541510812,23460.34541510812,23246.24194348691,23246.24194348691,23246.24194348691
2015-05-22,22999.0,22250.0,22999.0,36.369603484243605,17.146369634977372,26.379131855533355,-5.703157031570316,-1391.0,-66.39748766262899,22999.0,23547.714285714286,23838.333333333332,23131.535521580518,23680.994871030685,23954.61559560076,23531.436363636363,23531.436363636363,23531.436363636363,23273.058239016995,23273.058239016995,23273.058239016995,23048.05390059655,23048.05390059655,23048.05390059655
2015-05-26,23000.0,22250.0,23711.0,36.391525701272606,23.527740391805015,20.37135581234604,-5.726113866458993,-1397.0,-66.35262449528938,23000.0,23386.714285714286,23805.033333333333,23065.76776079026,23595.87049818829,23923.14264367121,23385.436363636363,23385.436363636363,23385.436363636363,23138.954981005016,23138.954981005016,23138.954981005016,22929.595980296464,22929.595980296464,22929.595980296464
2015-05-27,23597.0,23101.0,23899.0,47.92604328903475,42.56019141618067,27.74476714765431,-3.290983606557374,-803.0,-39.569313593539704,23597.0,23327.714285714286,23803.3,23331.38388039513,23596.01168593502,23912.397609769323,23373.381818181817,23373.381818181817,23373.381818181817,23241.94519734394,23241.94519734394,23241.94519734394,23135.206888156226,23135.206888156226,23135.206888156226
2015-05-28,23100.0,22600.0,23100.0,41.22407833516116,44.07058471661435,36.719505508199966,-5.323988688060988,-1299.0,-61.86630776132795,23100.0,23213.571428571428,23780.0,23215.691940197565,23534.010217406318,23885.650906601346,23285.563636363637,23285.563636363637,23285.563636363637,23158.328889361106,23158.328889361106,23158.328889361106,23060.39229286914,23060.39229286914,23060.39229286914
2015-06-01,22500.0,22350.0,22501.0,34.88224839282624,36.593390160011985,41.07472209760229,-6.743482405603684,-1627.0,-88.78420816509646,22500.0,23070.85714285714,23739.9,22857.84597009878,23404.758926026836,23840.061210584765,23112.272727272728,23112.272727272728,23112.272727272728,22902.07900089785,22902.07900089785,22902.07900089785,22748.843785422992,22748.843785422992,22748.843785422992
2015-06-02,22350.0,22200.0,22350.0,33.494956808999746,18.643772737118464,33.10258253791489,-6.913785922532279,-1660.0,-93.41816586222028,22350.0,22935.14285714286,23691.566666666666,22603.92298504939,23272.914047595863,23791.067794943287,22941.29090909091,22941.29090909091,22941.29090909091,22667.661174706813,22667.661174706813,22667.661174706813,22484.530330280682,22484.530330280682,22484.530330280682
