Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.9984640397412,313.72999972139803,315.0,315.0,315.0,315.0001617051982,315.0001617051982,315.0001617051982,314.99919636310386,314.99919636310386,314.99919636310386
2015-06-04,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.99865603500695,313.7724654802047,315.0,315.0,315.0,315.0001343390818,315.0001343390818,315.0001343390818,314.99932008844434,314.99932008844434,314.99932008844434
2015-06-05,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.99882403080977,313.81346292817494,315.0,315.0,315.0,315.000111578654,315.000111578654,315.000111578654,314.99942508655903,314.99942508655903,314.99942508655903
2015-06-08,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.9989710270954,313.85304600480805,315.0,315.0,315.0,315.00009265378407,315.00009265378407,315.00009265378407,314.99951413229104,314.99951413229104,314.99951413229104
2015-06-09,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.9990996488132,313.8912664604195,315.0,315.0,315.0,315.00007692213444,315.00007692213444,315.00007692213444,314.9995896005248,314.9995896005248,314.9995896005248
2015-06-10,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.99921219279173,313.92817395843355,315.0,315.0,315.0,315.00006384814975,315.00006384814975,315.00006384814975,314.9996535217148,314.9996535217148,314.9996535217148
2015-06-11,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.99931066875416,313.96381617204696,315.0,315.0,315.0,315.00005298546074,315.00005298546074,315.00005298546074,314.9997076301119,314.9997076301119,314.9997076301119
2015-06-12,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.9993968352069,313.9982388756262,315.0,315.0,315.0,315.00004396215786,315.00004396215786,315.00004396215786,314.9997534055709,314.9997534055709,314.9997534055709
2015-06-15,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.999472230842,314.0314860311733,315.0,315.0,315.0,315.00003646847057,315.00003646847057,315.00003646847057,314.99979210972316,314.99979210972316,314.99979210972316
2015-06-16,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.9995382020143,314.0635998701718,315.0,315.0,315.0,315.000030246466,315.000030246466,315.000030246466,314.9998248172241,314.9998248172241,314.9998248172241
2015-06-17,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.9995959267836,314.09462097110156,315.0,315.0,315.0,315.0000250814392,315.0000250814392,315.0000250814392,314.99985244270687,314.99985244270687,314.99985244270687
2015-06-18,315.0,,,100.0,,,0.0,0.0,,315.0,315.0,315.0,315.0,314.99964643595183,314.1245883328906,315.0,315.0,315.0,315.00002079472085,315.00002079472085,315.00002079472085,314.99987576399064,314.99987576399064,314.99987576399064
