Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16800.0,17375.0,16532.8125,17038.55367174349,17385.217915007717,16786.363636363636,16786.363636363636,16786.363636363636,16534.99820215053,16534.99820215053,16534.99820215053,16375.915465102658,16375.915465102658,16375.915465102658
2015-05-04,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16650.0,17340.0,16516.40625,16971.234380936436,17355.618354201757,16690.909090909092,16690.909090909092,16690.909090909092,16471.36510733138,16471.36510733138,16471.36510733138,16346.412848413784,16346.412848413784,16346.412848413784
2015-05-05,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17305.0,16508.203125,16912.330020661328,17327.0422380982,16614.545454545456,16614.545454545456,16614.545454545456,16429.71435435885,16429.71435435885,16429.71435435885,16340.25989627012,16340.25989627012,16340.25989627012
2015-05-06,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17270.0,16504.1015625,16860.788720106102,17299.451969688682,16557.272727272728,16557.272727272728,16557.272727272728,16404.155937762065,16404.155937762065,16404.155937762065,16348.392119732722,16348.392119732722,16348.392119732722
2015-05-07,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17235.0,16502.05078125,16815.690093363857,17272.811477873765,16519.090909090908,16519.090909090908,16519.090909090908,16390.214983254726,16390.214983254726,16390.214983254726,16364.55095336623,16364.55095336623,16364.55095336623
2015-05-08,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17200.0,16501.025390625,16776.22880357275,17247.08614616273,16500.0,16500.0,16500.0,16384.51186550172,16384.51186550172,16384.51186550172,16384.51186550172,16384.51186550172,16384.51186550172
2015-05-11,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17165.0,16500.5126953125,16741.70018159631,17222.242745296804,16500.0,16500.0,16500.0,16384.511865501725,16384.511865501725,16384.511865501725,16405.50970813777,16405.50970813777,16405.50970813777
2015-05-12,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17130.0,16500.25634765625,16711.487642412983,17198.249369543446,16500.0,16500.0,16500.0,16388.329655071913,16388.329655071913,16388.329655071913,16425.813407215595,16425.813407215595,16425.813407215595
2015-05-13,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17095.0,16500.128173828125,16685.051674490962,17175.07537642768,16500.0,16500.0,16500.0,16394.576947095862,16394.576947095862,16394.576947095862,16444.413299377815,16444.413299377815,16444.413299377815
2015-05-14,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17060.0,16500.064086914062,16661.920205517104,17152.691329683672,16500.0,16500.0,16500.0,16402.24407821616,16402.24407821616,16402.24407821616,16460.793079498457,16460.793079498457,16460.793079498457
2015-05-15,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17025.0,16500.03204345703,16641.680172429627,17131.0689452252,16500.0,16500.0,16500.0,16410.60822125649,16410.60822125649,16410.60822125649,16474.765000259,16474.765000259,16474.765000259
2015-05-18,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16990.0,16500.016021728516,16623.97014521195,17110.18103994823,16500.0,16500.0,16500.0,16419.162458456824,16419.162458456824,16419.162458456824,16486.352103375822,16486.352103375822,16486.352103375822
2015-05-19,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16955.0,16500.008010864258,16608.473872723982,17090.00148319191,16500.0,16500.0,16500.0,16427.561164071703,16427.561164071703,16427.561164071703,16495.705207356026,16495.705207356026,16495.705207356026
2015-05-20,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16920.0,16500.00400543213,16594.914635313366,17070.505150696546,16500.0,16500.0,16500.0,16435.578110340444,16435.578110340444,16435.578110340444,16503.045398420265,16503.045398420265,16503.045398420265
2015-05-21,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16885.0,16500.002002716064,16583.05030335723,17051.667880908375,16500.0,16500.0,16500.0,16443.07447568265,16443.07447568265,16443.07447568265,16508.625079442023,16508.625079442023,16508.625079442023
2015-05-22,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16850.0,16500.001001358032,16572.669013491388,17033.466433491205,16500.0,16500.0,16500.0,16449.974539236264,16449.974539236264,16449.974539236264,16512.702389723694,16512.702389723694,16512.702389723694
2015-05-26,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16815.0,16500.000500679016,16563.585385314913,17015.878449914704,16500.0,16500.0,16500.0,16456.24732428501,16456.24732428501,16456.24732428501,16515.52514299563,16515.52514299563,16515.52514299563
2015-05-27,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16780.0,16500.000250339508,16555.63721100973,16998.8824159978,16500.0,16500.0,16500.0,16461.892830828878,16461.892830828878,16461.892830828878,16517.32144053231,16517.32144053231,16517.32144053231
2015-05-28,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16745.0,16500.000125169754,16548.682558760072,16982.457626293894,16500.0,16500.0,16500.0,16466.931795347373,16466.931795347373,16466.931795347373,16518.294876859756,16518.294876859756,16518.294876859756
2015-06-01,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16710.0,16500.000062584877,16542.597238246333,16966.584150212122,16500.0,16500.0,16500.0,16471.398150261495,16471.398150261495,16471.398150261495,16518.62282599681,16518.62282599681,16518.62282599681
2015-06-02,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16675.0,16500.00003129244,16537.272582953545,16951.242799775857,16500.0,16500.0,16500.0,16475.333539906107,16475.333539906107,16475.333539906107,16518.456721888437,16518.456721888437,16518.456721888437
2015-06-03,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16640.0,16500.00001564622,16532.613509692357,16936.415098926107,16500.0,16500.0,16500.0,16478.78339446469,16478.78339446469,16478.78339446469,16517.923562547563,16517.923562547563,16517.923562547563
2015-06-04,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16605.0,16500.00000782311,16528.53682068069,16922.083254283512,16500.0,16500.0,16500.0,16481.79417662491,16481.79417662491,16481.79417662491,16517.12810021545,16517.12810021545,16517.12810021545
2015-06-05,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16570.0,16500.000003911555,16524.96971786582,16908.230127288087,16500.0,16500.0,16500.0,16484.41150429829,16484.41150429829,16484.41150429829,16516.155350090863,16516.155350090863,16516.155350090863
2015-06-08,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16535.0,16500.000001955777,16521.848502956665,16894.839207641136,16500.0,16500.0,16500.0,16486.678921854906,16486.678921854906,16486.678921854906,16515.073173529763,16515.073173529763,16515.073173529763
2015-06-09,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16500.0,16500.00000097789,16519.11743995239,16881.89458797844,16500.0,16500.0,16500.0,16488.63714610834,16488.63714610834,16488.63714610834,16513.934780004434,16513.934780004434,16513.934780004434
