Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.06300614418,65232.38766671233,65105.0,65105.0,65105.0,65104.996131952495,65104.996131952495,65104.996131952495,65105.02336098278,65105.02336098278,65105.02336098278
2015-05-04,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.05513036658,65228.12812911955,65105.0,65105.0,65105.0,65104.99679386437,65104.99679386437,65104.99679386437,65105.019655095624,65105.019655095624,65105.019655095624
2015-05-05,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.04823906343,65224.01587077907,65105.0,65105.0,65105.0,65104.99734295035,65104.99734295035,65104.99734295035,65105.01653069404,65105.01653069404,65105.01653069404
2015-05-06,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.042209174884,65220.04548127716,65105.0,65105.0,65105.0,65104.997798356664,65104.997798356664,65104.997798356664,65105.01389771844,65105.01389771844,65105.01389771844
2015-05-07,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.03693302373,65216.21176978665,65105.0,65105.0,65105.0,65104.99817599703,65104.99817599703,65104.99817599703,65105.01167983905,65105.01167983905,65105.01167983905
2015-05-08,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.03231639247,65212.50975480648,65105.0,65105.0,65105.0,65104.998489095226,65104.998489095226,65104.998489095226,65105.009812403216,65105.009812403216,65105.009812403216
2015-05-11,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.028276840894,65208.93465446582,65105.0,65105.0,65105.0,65104.99874863715,65104.99874863715,65104.99874863715,65105.00824068238,65105.00824068238,65105.00824068238
2015-05-12,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.02474223386,65205.48187735641,65105.0,65105.0,65105.0,65104.99896374745,65104.99896374745,65104.99896374745,65105.00691837581,65105.00691837581,65105.00691837581
2015-05-13,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.02164945315,65202.14701385966,65105.0,65105.0,65105.0,65104.9991420032,65104.9991420032,65104.9991420032,65105.005806334935,65105.005806334935,65105.005806334935
2015-05-14,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.01894327038,65198.92582793701,65105.0,65105.0,65105.0,65104.999289694955,65104.999289694955,65104.999289694955,65105.00487147636,65105.00487147636,65105.00487147636
2015-05-15,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.016575360714,65195.81424935481,65105.0,65105.0,65105.0,65104.999412044155,65104.999412044155,65104.999412044155,65105.00408585727,65105.00408585727,65105.00408585727
2015-05-18,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.01450343996,65192.808366316705,65105.0,65105.0,65105.0,65104.99951338389,65104.99951338389,65104.99951338389,65105.00342588845,65105.00342588845,65105.00342588845
2015-05-19,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.01269050946,65189.90441847867,65105.0,65105.0,65105.0,65104.99959730937,65104.99959730937,65104.99959730937,65105.00287166594,65105.00287166594,65105.00287166594
2015-05-20,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.011104195386,65187.098790323245,65105.0,65105.0,65105.0,65104.99966680298,65104.99966680298,65104.99966680298,65105.00240640326,65105.00240640326,65105.00240640326
2015-05-21,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.009716170665,65184.388004871595,65105.0,65105.0,65105.0,65104.99972433826,65104.99972433826,65104.99972433826,65105.002015949714,65105.002015949714,65105.002015949714
2015-05-22,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00850164911,65181.76871771309,65105.0,65105.0,65105.0,65104.99977196641,65104.99977196641,65104.99977196641,65105.00168838189,65105.00168838189,65105.00168838189
2015-05-26,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00743894279,65179.23771133376,65105.0,65105.0,65105.0,65104.99981138802,65104.99981138802,65104.99981138802,65105.00141365743,65105.00141365743,65105.00141365743
2015-05-27,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00650907481,65176.79188972607,65105.0,65105.0,65105.0,65104.99984401279,65104.99984401279,65104.99984401279,65105.00118332179,65105.00118332179,65105.00118332179
2015-05-28,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00569544036,65174.42827326379,65105.0,65105.0,65105.0,65104.99987100912,65104.99987100912,65104.99987100912,65105.00099026028,65105.00099026028,65105.00099026028
2015-06-01,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00498351024,65172.14399382661,65105.0,65105.0,65105.0,65104.9998933452,65104.9998933452,65104.9998933452,65105.00082848793,65105.00082848793,65105.00082848793
2015-06-02,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.0043605714,65169.93629016047,65105.0,65105.0,65105.0,65104.99991182324,65104.99991182324,65104.99991182324,65105.00069297214,65105.00069297214,65105.00069297214
2015-06-03,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00381549993,65167.802503460116,65105.0,65105.0,65105.0,65104.99992710776,65104.99992710776,65104.99992710776,65105.00057948274,65105.00057948274,65105.00057948274
2015-06-04,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.003338562405,65165.7400731616,65105.0,65105.0,65105.0,65104.999939749214,65104.999939749214,65104.999939749214,65105.00048446524,65105.00048446524,65105.00048446524
2015-06-05,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00292124208,65163.74653293303,65105.0,65105.0,65105.0,65104.99995020343,65104.99995020343,65104.99995020343,65105.000404934086,65105.000404934086,65105.000404934086
2015-06-08,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.002556086794,65161.81950685274,65105.0,65105.0,65105.0,65104.999958847875,65104.999958847875,65104.999958847875,65105.000338382444,65105.000338382444,65105.000338382444
2015-06-09,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00223657593,65159.95670576461,65105.0,65105.0,65105.0,65104.99996599505,65104.99996599505,65104.99996599505,65105.00028270606,65105.00028270606,65105.00028270606
2015-06-10,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00195700392,65158.15592380102,65105.0,65105.0,65105.0,65104.99997190366,65104.99997190366,65104.99997190366,65105.000236139254,65105.000236139254,65105.000236139254
2015-06-11,65105.0,,,0.0,,,0.0,0.0,,65105.0,65105.0,65105.0,65105.0,65105.00171237843,65156.41503506451,65105.0,65105.0,65105.0,65104.99997678782,65104.99997678782,65104.99997678782,65105.00019720098,65105.00019720098,65105.00019720098
