Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,10011.0,,,4.555737611866498,,,-0.009988014382744659,-1.0,,10011.0,10011.0,10053.733333333334,10011.008486628532,10021.24142022471,10082.07246149389,10011.10909090909,10011.10909090909,10011.10909090909,10004.344759467189,10004.344759467189,10004.344759467189,10010.752916448644,10010.752916448644,10010.752916448644
2015-05-04,10011.0,,,4.555737611866498,,,-0.009988014382744659,-1.0,,10011.0,10011.0,10050.233333333334,10011.004243314266,10019.961241140325,10079.695969095857,10011.054545454546,10011.054545454546,10011.054545454546,10005.061633665677,10005.061633665677,10005.061633665677,10011.384374165837,10011.384374165837,10011.384374165837
2015-05-05,10011.0,,,4.555737611866497,,,-0.009988014382744659,-1.0,,10011.0,10011.0,10046.733333333334,10011.002121657133,10018.841084806245,10077.401647124983,10011.018181818183,10011.018181818183,10011.018181818183,10005.737834288939,10005.737834288939,10005.737834288939,10011.86774300926,10011.86774300926,10011.86774300926
2015-05-06,10011.0,,,4.555737611866497,,,-0.009988014382744659,-1.0,,10011.0,10011.0,10043.233333333334,10011.001060828567,10017.860948293192,10075.186476989024,10011.0,10011.0,10011.0,10006.364453407356,10006.364453407356,10006.364453407356,10012.222659922647,10012.222659922647,10012.222659922647
2015-05-07,10011.0,,,4.555737611866498,,,0.0,0.0,,10011.0,10011.0,10039.733333333334,10011.000530414283,10017.003329058085,10073.047562608062,10011.0,10011.0,10011.0,10006.93716691944,10006.93716691944,10006.93716691944,10012.468941901145,10012.468941901145,10012.468941901145
2015-05-08,10011.0,,,4.555737611866498,,,0.0,0.0,,10011.0,10011.0,10036.233333333334,10011.000265207142,10016.252912391068,10070.982124689948,10011.0,10011.0,10011.0,10007.45486218226,10007.45486218226,10007.45486218226,10012.62543040688,10012.62543040688,10012.62543040688
2015-05-11,10011.0,,,4.555737611866498,,,0.0,0.0,,10011.0,10011.0,10032.733333333334,10011.00013260357,10015.596297932763,10068.987495320744,10011.0,10011.0,10011.0,10007.918613153824,10007.918613153824,10007.918613153824,10012.709330218728,10012.709330218728,10012.709330218728
2015-05-12,10011.0,,,4.555737611866498,,,0.0,0.0,,10011.0,10011.0,10029.233333333334,10011.000066301785,10015.021760377704,10067.06111284991,10011.0,10011.0,10011.0,10008.330922047058,10008.330922047058,10008.330922047058,10012.735886546145,10012.735886546145,10012.735886546145
2015-05-13,10011.0,,,4.555737611866498,,,0.0,0.0,,10011.0,10011.0,10026.233333333334,10011.000033150893,10014.519040090494,10065.200517051455,10011.0,10011.0,10011.0,10008.695164461635,10008.695164461635,10008.695164461635,10012.718287331501,10012.718287331501,10012.718287331501
2015-05-14,10011.0,10011.0,10011.0,4.555737611866498,,,0.0,0.0,,10011.0,10011.0,10023.233333333334,10011.000016575446,10014.079159895435,10063.403344543625,10011.0,10011.0,10011.0,10009.01518907101,10009.01518907101,10009.01518907101,10012.667709769807,10012.667709769807,10012.667709769807
2015-05-15,10000.0,,,2.7491902915334094,,,-0.10987913295374963,-11.0,,10000.0,10009.42857142857,10019.866666666667,10005.500008287723,10012.319264265254,10061.302916011291,10009.0,10009.0,10009.0,10005.658670369152,10005.658670369152,10005.658670369152,10007.618247237417,10007.618247237417,10007.618247237417
2015-05-18,10000.0,,,2.7491902915334094,,,-0.10987913295374963,-11.0,,10000.0,10007.857142857143,10016.533333333333,10002.750004143862,10010.779355739609,10059.273835809303,10007.2,10007.2,10007.2,10003.224681143307,10003.224681143307,10003.224681143307,10004.241665645828,10004.241665645828,10004.241665645828
2015-05-19,10000.0,,,2.7491902915334094,,,-0.10987913295374963,-11.0,,10000.0,10006.285714285714,10013.2,10001.37500207193,10009.431935895096,10057.313565568882,10005.6,10005.6,10005.6,10001.488715425401,10001.488715425401,10001.488715425401,10002.050118122845,10002.050118122845,10002.050118122845
