Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,3550.0,,,0.0,,,-1.388888888888884,-50.0,,3550.0,3550.0,3590.0,3550.195322036743,3567.8724748479253,3593.035187425976,3552.7272727272725,3552.7272727272725,3552.7272727272725,3544.9595640766343,3544.9595640766343,3544.9595640766343,3542.901552270353,3542.901552270353,3542.901552270353
2015-05-04,3550.0,3550.0,3550.0,0.0,,,-1.388888888888884,-50.0,,3550.0,3550.0,3588.0,3550.0976610183716,3565.638412776017,3591.5961941279247,3550.909090909091,3550.909090909091,3550.909090909091,3544.3554499100824,3544.3554499100824,3544.3554499100824,3543.6979039031107,3543.6979039031107,3543.6979039031107
2015-05-05,3550.0,3550.0,3550.0,0.0,,,-1.388888888888884,-50.0,,3550.0,3550.0,3586.0,3550.048830509186,3563.6836090996408,3590.2069559623005,3550.0,3550.0,3550.0,3544.1376396032147,3544.1376396032147,3544.1376396032147,3544.6655311242002,3544.6655311242002,3544.6655311242002
2015-05-06,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3559.4285714285716,3586.2,3583.024415254593,3570.223164048939,3591.0674162572127,3562.0,3562.0,3562.0,3566.0038115596676,3566.0038115596676,3566.0038115596676,3575.525938884169,3575.525938884169,3575.525938884169
2015-05-07,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3568.8571428571427,3586.4,3599.5122076272964,3575.9452732029913,3591.8982557801714,3572.8,3572.8,3572.8,3582.2942634789574,3582.2942634789574,3582.2942634789574,3596.2134106573767,3596.2134106573767,3596.2134106573767
2015-05-08,3616.0,,,71.90442263929268,,,1.8591549295774668,66.0,,3616.0,3578.285714285714,3586.6,3607.756103813648,3580.952117620559,3592.7005541189274,3582.4,3582.4,3582.4,3594.3136812603348,3594.3136812603348,3594.3136812603348,3609.64504144989,3609.64504144989,3609.64504144989
2015-05-11,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3587.714285714286,3586.8,3611.878051906824,3585.333105649694,3593.475347597498,3590.8,3590.8,3590.8,3603.0766408905015,3603.0766408905015,3603.0766408905015,3617.9701827018644,3617.9701827018644,3617.9701827018644
2015-05-12,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3597.1428571428573,3587.0,3613.939025953412,3589.1664695349436,3594.2236312629643,3598.0,3598.0,3598.0,3609.3699728448946,3609.3699728448946,3609.3699728448946,3622.7610574460296,3622.7610574460296,3622.7610574460296
2015-05-13,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3606.5714285714284,3587.2,3614.969512976706,3592.5206624443504,3594.9463607650737,3604.0,3604.0,3604.0,3613.802038935194,3613.802038935194,3613.802038935194,3625.1580101660866,3625.1580101660866,3625.1580101660866
2015-05-14,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3616.0,3587.4,3615.484756488353,3595.455580864782,3595.644454135417,3608.8,3608.8,3608.8,3616.8416190804296,3616.8416190804296,3616.8416190804296,3625.9798466183543,3625.9798466183543,3625.9798466183543
2015-05-15,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3616.0,3587.6,3615.7423782441765,3598.023634195322,3596.31879347245,3612.4,3612.4,3612.4,3618.8485572245813,3618.8485572245813,3618.8485572245813,3625.807369351143,3625.807369351143,3625.807369351143
2015-05-18,3616.0,,,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3616.0,3588.133333333333,3615.8711891220883,3600.270680639551,3596.9702265381943,3614.8,3614.8,3614.8,3620.097877561589,3620.097877561589,3620.097877561589,3625.046382472123,3625.046382472123,3625.046382472123
2015-05-19,3616.0,3616.0,3616.0,71.90442263929266,,,1.8591549295774668,66.0,,3616.0,3616.0,3588.6666666666665,3615.935594561044,3602.236846109819,3597.5995682720263,3616.0,3616.0,3616.0,3620.7987324132523,3620.7987324132523,3620.7987324132523,3623.975012355826,3623.975012355826,3623.975012355826
2015-05-20,3616.0,,,71.90442263929266,,,0.0,0.0,,3616.0,3616.0,3589.2,3615.967797280522,3603.9572407673477,3598.2076022265956,3616.0,3616.0,3616.0,3621.1092639283906,3621.1092639283906,3621.1092639283906,3622.7790813489687,3622.7790813489687,3622.7790813489687
2015-05-21,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3589.733333333333,3615.983898640261,3605.4625859939533,3598.795081930551,3616.0,3616.0,3616.0,3621.148239110313,3621.148239110313,3621.148239110313,3621.578409888911,3621.578409888911,3621.578409888911
2015-05-22,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3590.266666666667,3615.9919493201305,3606.7797629916417,3599.362732182442,3616.0,3616.0,3616.0,3621.0041402119205,3621.0041402119205,3621.0041402119205,3620.4462544467888,3620.4462544467888,3620.4462544467888
2015-05-26,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3590.8,3615.9959746600653,3607.9322928067445,3599.9112502798566,3616.0,3616.0,3616.0,3620.742251190288,3620.742251190288,3620.742251190288,3619.4235717114902,3619.4235717114902,3619.4235717114902
2015-05-27,3616.0,,,71.90442263929266,,,0.0,0.0,,3616.0,3616.0,3591.3333333333335,3615.9979873300326,3608.9407563506484,3600.4413071875824,3616.0,3616.0,3616.0,3620.4101684174498,3620.4101684174498,3620.4101684174498,3618.5294000407157,3618.5294000407157,3618.5294000407157
2015-05-28,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3591.866666666667,3615.9989936650163,3609.8231619176395,3600.9535486483296,3616.0,3616.0,3616.0,3620.0420743821633,3620.0420743821633,3620.0420743821633,3617.768341277169,3617.768341277169,3617.768341277169
2015-06-01,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3592.4,3615.999496832508,3610.5952667627826,3601.4485962393087,3616.0,3616.0,3616.0,3619.662042031859,3619.662042031859,3619.662042031859,3617.1358891219816,3617.1358891219816,3617.1358891219816
2015-06-02,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3592.9333333333334,3615.999748416254,3611.2708584823968,3601.9270483777514,3616.0,3616.0,3616.0,3619.2865809698583,3619.2865809698583,3619.2865809698583,3616.622168412711,3616.622168412711,3616.622168412711
2015-06-03,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3593.4666666666667,3615.999874208127,3611.862001221834,3602.389481278246,3616.0,3616.0,3616.0,3618.926591962408,3618.926591962408,3618.926591962408,3616.2145104224846,3616.2145104224846,3616.2145104224846
2015-06-04,3616.0,,,71.90442263929266,,,0.0,0.0,,3616.0,3616.0,3594.0,3615.9999371040635,3612.3792511071842,3602.836449864588,3616.0,3616.0,3616.0,3618.588860743787,3618.588860743787,3618.588860743787,3615.8991829849792,3615.8991829849792,3615.8991829849792
2015-06-05,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3596.2,3615.9999685520315,3612.8318447479405,3603.2684886386587,3616.0,3616.0,3616.0,3618.2771940356592,3618.2771940356592,3618.2771940356592,3615.6625133174243,3615.6625133174243,3615.6625133174243
2015-06-08,3616.0,,,71.90442263929266,,,0.0,0.0,,3616.0,3616.0,3598.4,3615.9999842760158,3613.2278641767693,3603.686112508696,3616.0,3616.0,3616.0,3617.993278502594,3617.993278502594,3617.993278502594,3615.4915800053864,3615.4915800053864,3615.4915800053864
2015-06-09,3616.0,,,71.90442263929268,,,0.0,0.0,,3616.0,3616.0,3600.6,3615.9999921380077,3613.574381171763,3604.089817579164,3616.0,3616.0,3616.0,3617.737325839877,3617.737325839877,3617.737325839877,3615.374604189456,3615.374604189456,3615.374604189456
