Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,86000.0,86000.0,86000.0,34.67891294546163,,,-3.369700783154872,-2999.0,,86000.0,88242.71428571429,87565.93333333333,87197.28840496318,87934.8593361378,87375.2983960684,88098.05454545455,88098.05454545455,88098.05454545455,87822.37495817593,87822.37495817593,87822.37495817593,87355.46061461803,87355.46061461803,87355.46061461803
2015-05-04,84800.0,84800.0,84800.0,28.40350812847403,,,-4.718030539668982,-4199.0,,84800.0,87642.71428571429,87509.26666666666,85998.64420248159,87543.00144274443,87289.18660350799,87439.90909090909,87439.90909090909,87439.90909090909,86803.26006009236,86803.26006009236,86803.26006009236,86057.01013170996,86057.01013170996,86057.01013170996
2015-05-05,84500.0,84500.0,84500.0,27.08399507923974,,,-5.0561797752809,-4500.0,,84500.0,86999.85714285714,87429.33333333333,85249.3221012408,87162.62585778626,87196.0327811,86803.56363636363,86803.56363636363,86803.56363636363,85955.64562219867,85955.64562219867,85955.64562219867,85080.41465857696,85080.41465857696,85080.41465857696
2015-05-06,84000.0,84000.0,84000.0,24.999475244575763,,,-5.0847457627118615,-4500.0,,84000.0,86285.71428571429,87329.66666666667,84624.6610506204,86767.2972576071,87089.41258902983,86158.12727272727,86158.12727272727,86158.12727272727,85174.82453163517,85174.82453163517,85174.82453163517,84245.12201019286,84245.12201019286,84245.12201019286
2015-05-07,84000.0,,,24.999475244575766,,,-5.61797752808989,-5000.0,,84000.0,85685.71428571429,87230.0,84312.3305253102,86421.38481869006,86986.46272598427,85594.5090909091,85594.5090909091,85594.5090909091,84613.2889410386,84613.2889410386,84613.2889410386,83741.11616148787,83741.11616148787,83741.11616148787
2015-05-08,84000.0,84000.0,84000.0,24.999475244575766,,,-5.61797752808989,-5000.0,,84000.0,85114.28571428571,87130.0,84156.1652626551,86118.71150066493,86887.04941954637,85121.8,85121.8,85121.8,84217.11093605944,84217.11093605944,84217.11093605944,83464.04030987075,83464.04030987075,83464.04030987075
2015-05-11,83800.0,83601.0,83800.0,24.073813657831135,,,-5.841638670097415,-5199.0,,83800.0,84442.85714285714,87023.33333333333,83978.08263132755,85828.87238235663,86784.39351216992,84703.63636363637,84703.63636363637,84703.63636363637,83878.60794310451,83878.60794310451,83878.60794310451,83248.16689565843,83248.16689565843,83248.16689565843
2015-05-12,83800.0,83800.0,84000.0,24.073813657831124,,,-4.9886621315192725,-4400.0,,83800.0,84128.57142857143,86916.63333333333,83889.04131566378,85575.26319619436,86685.25001034913,84380.0,84380.0,84380.0,83649.40815631305,83649.40815631305,83649.40815631305,83160.97308907297,83160.97308907297,83160.97308907297
2015-05-13,84000.0,84000.0,84000.0,27.20004992690003,,,-4.545454545454541,-4000.0,,84000.0,84014.28571428571,86816.63333333333,83944.52065783189,85378.35520266718,86596.13003692956,84172.72727272728,84172.72727272728,84172.72727272728,83567.07083932658,83567.07083932658,83567.07083932658,83246.15654079804,83246.15654079804,83246.15654079804
2015-05-14,84000.0,84000.0,84000.0,27.20004992690002,,,-5.0847457627118615,-4500.0,,84000.0,83942.85714285714,86716.63333333333,83972.26032891595,85206.06073036285,86510.04795168499,84038.18181818182,84038.18181818182,84038.18181818182,83526.2641778951,83526.2641778951,83526.2641778951,83349.83171948174,83349.83171948174,83349.83171948174
