Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-04-30,36500.0,,,53.87442985367691,,,0.0,0.0,,36500.0,36500.0,36380.0,36499.95117220096,36470.867686877216,36603.92666329619,36500.0,36500.0,36500.0,36514.81964524756,36514.81964524756,36514.81964524756,36522.651482631154,36522.651482631154,36522.651482631154
2015-05-04,36500.0,,,53.87442985367691,,,0.0,0.0,,36500.0,36500.0,36386.666666666664,36499.97558610048,36474.50923044454,36600.45160530488,36500.0,36500.0,36500.0,36514.595594519895,36514.595594519895,36514.595594519895,36518.349717011944,36518.349717011944,36518.349717011944
2015-05-05,36500.0,36500.0,36500.0,53.87442985367691,,,0.0,0.0,,36500.0,36500.0,36393.333333333336,36499.98779305024,36477.69558002837,36597.09670212651,36500.0,36500.0,36500.0,36513.96311115609,36513.96311115609,36513.96311115609,36514.495918439396,36514.495918439396,36514.495918439396
2015-05-06,36500.0,,,53.87442985367691,,,0.0,0.0,,36500.0,36500.0,36400.0,36499.99389652512,36480.48363511983,36593.85753978396,36500.0,36500.0,36500.0,36513.07812275036,36513.07812275036,36513.07812275036,36511.136215482074,36511.136215482074,36511.136215482074
2015-05-07,36500.0,,,53.8744298536769,,,0.0,0.0,,36500.0,36500.0,36406.666666666664,36499.99694826256,36482.92318271665,36590.72988344539,36500.0,36500.0,36500.0,36512.053357858924,36512.053357858924,36512.053357858924,36508.27300502872,36508.27300502872,36508.27300502872
2015-05-08,36500.0,,,53.8744298536769,,,0.0,0.0,,36500.0,36500.0,36413.333333333336,36499.99847413128,36485.05778639821,36587.709669053445,36500.0,36500.0,36500.0,36510.96890010981,36510.96890010981,36510.96890010981,36505.88153868331,36505.88153868331,36505.88153868331
2015-05-11,36500.0,36500.0,36500.0,53.8744298536769,,,0.0,0.0,,36500.0,36500.0,36420.0,36499.99923706564,36486.92556426306,36584.79299541507,36500.0,36500.0,36500.0,36509.880332522065,36509.880332522065,36509.880332522065,36503.92152180548,36503.92152180548,36503.92152180548
2015-05-12,37150.0,,,93.96772173641259,,,1.7808219178082174,650.0,,37150.0,36592.857142857145,36448.333333333336,36824.99961853282,36569.809913951394,36603.569541289355,36618.181818181816,36618.181818181816,36618.181818181816,36723.70103248326,36723.70103248326,36723.70103248326,36796.33454508181,36796.33454508181,36796.33454508181
2015-05-13,37150.0,,,93.96772173641257,,,1.7808219178082174,650.0,,37150.0,36685.71428571428,36476.666666666664,36987.49980926641,36642.33370932996,36621.70486119187,36724.545454545456,36724.545454545456,36724.545454545456,36880.929731383454,36880.929731383454,36880.929731383454,36989.27901780348,36989.27901780348,36989.27901780348
2015-05-14,37150.0,,,93.96772173641257,,,1.7808219178082174,650.0,,37150.0,36778.57142857143,36505.0,37068.74990463321,36705.792022171554,36639.2219911223,36819.09090909091,36819.09090909091,36819.09090909091,36995.0768858081,36995.0768858081,36995.0768858081,37111.89414091391,37111.89414091391,37111.89414091391
2015-05-15,37150.0,,,93.96772173641257,,,1.7808219178082174,650.0,,37150.0,36871.42857142857,36533.333333333336,37109.374952316604,36761.31803969517,36656.1430654167,36901.818181818184,36901.818181818184,36901.818181818184,37076.61086899127,37076.61086899127,37076.61086899127,37185.532101533994,37185.532101533994,37185.532101533994
2015-05-18,37150.0,,,93.96772173641257,,,1.7808219178082174,650.0,,37150.0,36964.28571428572,36561.666666666664,37129.6874761583,36809.90330027168,36672.489356813225,36972.72727272727,36972.72727272727,36972.72727272727,37133.61755627947,37133.61755627947,37133.61755627947,37225.71355449087,37225.71355449087,37225.71355449087
2015-05-19,37150.0,,,93.96772173641257,,,1.7808219178082174,650.0,,37150.0,37057.142857142855,36590.0,37139.84373807915,36852.415399634316,36688.281314437394,37031.818181818184,37031.818181818184,37031.818181818184,37172.32062607473,37172.32062607473,37172.32062607473,37243.61360168868,37243.61360168868,37243.61360168868
2015-05-20,37150.0,,,93.96772173641256,,,1.7808219178082174,650.0,,37150.0,37150.0,36618.333333333336,37144.92186903958,36889.61348378835,36703.53859983327,37079.09090909091,37079.09090909091,37079.09090909091,37197.49142069553,37197.49142069553,37197.49142069553,37247.187233344106,37247.187233344106,37247.187233344106
2015-05-21,37150.0,,,93.96772173641259,,,1.7808219178082174,650.0,,37150.0,37150.0,36646.666666666664,37147.46093451979,36922.16180528837,36718.280121158146,37114.545454545456,37114.545454545456,37114.545454545456,37212.77132715422,37212.77132715422,37212.77132715422,37242.01856892954,37242.01856892954,37242.01856892954
2015-05-22,37150.0,,,93.96772173641259,,,1.7808219178082174,650.0,,37150.0,37150.0,36675.0,37148.7304672599,36950.64158496646,36732.52406565016,37138.181818181816,37138.181818181816,37138.181818181816,37220.924939671066,37220.924939671066,37220.924939671066,37231.95905754705,37231.95905754705,37231.95905754705
2015-05-26,37150.0,,,93.96772173641257,,,1.7808219178082174,650.0,,37150.0,37150.0,36703.333333333336,37149.36523362995,36975.561390933435,36746.28793047082,37150.0,37150.0,37150.0,37224.038516986606,37224.038516986606,37224.038516986606,37219.604883069405,37219.604883069405,37219.604883069405
2015-05-27,37150.0,,,93.96772173641257,,,0.0,0.0,,37150.0,37150.0,36731.666666666664,37149.68261681497,36997.36622019646,36759.58855201746,37150.0,37150.0,37150.0,37223.6752582644,37223.6752582644,37223.6752582644,37206.652238102266,37206.652238102266,37206.652238102266
2015-05-28,37150.0,37150.0,37150.0,93.96772173641259,,,0.0,0.0,,37150.0,37150.0,36760.0,37149.841308407485,37016.445445068086,36772.442133794415,37150.0,37150.0,37150.0,37220.996539342435,37220.996539342435,37220.996539342435,37194.16015205662,37194.16015205662,37194.16015205662
2015-06-01,37150.0,37150.0,37150.0,93.96772173641257,,,0.0,0.0,,37150.0,37150.0,36781.666666666664,37149.92065420374,37033.13976626915,36784.864272925544,37150.0,37150.0,37150.0,37216.85635430072,37216.85635430072,37216.85635430072,37182.74360937582,37182.74360937582,37182.74360937582
2015-06-02,37200.0,,,94.86711394909548,,,0.13458950201883368,50.0,,37200.0,37157.142857142855,36805.0,37174.96032710187,37053.99729749107,36798.51399219863,37159.09090909091,37159.09090909091,37159.09090909091,37228.403623676066,37228.403623676066,37228.403623676066,37195.328900796405,37195.328900796405,37195.328900796405
2015-06-03,37200.0,,,94.86711394909548,,,0.13458950201883368,50.0,,37200.0,37164.28571428572,36828.333333333336,37187.480163550936,37072.2476368402,36811.706700031296,37167.27272727273,37167.27272727273,37167.27272727273,37235.194651152924,37235.194651152924,37235.194651152924,37201.73448676905,37201.73448676905,37201.73448676905
2015-06-04,37200.0,,,94.86711394909548,,,0.13458950201883368,50.0,,37200.0,37171.42857142857,36851.666666666664,37193.74008177547,37088.21668341081,36824.45822779605,37174.545454545456,37174.545454545456,37174.545454545456,37238.577251326584,37238.577251326584,37238.577251326584,37204.18670749858,37204.18670749858,37204.18670749858
2015-06-05,37200.0,,,94.8671139490955,,,0.13458950201883368,50.0,,37200.0,37178.57142857143,36875.0,37196.870040887734,37102.18959888454,36836.78382425038,37180.90909090909,37180.90909090909,37180.90909090909,37239.56635553121,37239.56635553121,37239.56635553121,37204.234755029895,37204.234755029895,37204.234755029895
2015-06-08,37200.0,,,94.8671139490955,,,0.13458950201883368,50.0,,37200.0,37185.71428571428,36898.333333333336,37198.43502044387,37114.41589971311,36848.69817916643,37186.36363636364,37186.36363636364,37186.36363636364,37238.920504444024,37238.920504444024,37238.920504444024,37202.936375953126,37202.936375953126,37202.936375953126
2015-06-09,37200.0,,,94.86711394909548,,,0.13458950201883368,50.0,,37200.0,37192.857142857145,36921.666666666664,37199.21751022193,37125.113912776585,36860.21544586512,37190.90909090909,37190.90909090909,37190.90909090909,37237.20152960238,37237.20152960238,37237.20152960238,37200.99605545483,37200.99605545483,37200.99605545483
2015-06-10,37200.0,,,94.86711394909548,,,0.13458950201883368,50.0,,37200.0,37200.0,36945.0,37199.60875511097,37134.47467408347,36871.34926271383,37194.545454545456,37194.545454545456,37194.545454545456,37234.82100827525,37234.82100827525,37234.82100827525,37198.86725519539,37198.86725519539,37198.86725519539
2015-06-11,37200.0,,,94.8671139490955,,,0.13458950201883368,50.0,,37200.0,37200.0,36968.333333333336,37199.80437755548,37142.66534013231,36882.112773643115,37197.27272727273,37197.27272727273,37197.27272727273,37232.0763284356,37232.0763284356,37232.0763284356,37196.8275616547,37196.8275616547,37196.8275616547
2015-06-12,37200.0,,,94.8671139490955,,,0.13458950201883368,50.0,,37200.0,37200.0,36991.666666666664,37199.90218877774,37149.83217285257,36892.51864773432,37199.09090909091,37199.09090909091,37199.09090909091,37229.1786062806,37229.1786062806,37229.1786062806,37195.03350504518,37195.03350504518,37195.03350504518
2015-06-15,37200.0,,,94.86711394909548,,,0.13458950201883368,50.0,,37200.0,37200.0,37015.0,37199.951094388874,37156.10315142729,36902.57909792715,37200.0,37200.0,37200.0,37226.27422677913,37226.27422677913,37226.27422677913,37193.56019362669,37193.56019362669,37193.56019362669
2015-06-16,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37038.333333333336,37199.97554719444,37161.59025763768,36912.30589889275,37200.0,37200.0,37200.0,37223.461403252404,37223.461403252404,37223.461403252404,37192.429666445416,37192.429666445416,37192.429666445416
2015-06-17,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37061.666666666664,37199.98777359722,37166.39147553924,36921.71040411572,37200.0,37200.0,37200.0,37220.802855164184,37220.802855164184,37220.802855164184,37191.63091501952,37191.63091501952,37191.63091501952
2015-06-18,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37085.0,37199.993886798606,37170.592541178194,36930.803562225294,37200.0,37200.0,37200.0,37218.33546825672,37218.33546825672,37218.33546825672,37191.13379572805,37191.13379572805,37191.13379572805
2015-06-19,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37108.333333333336,37199.9969433993,37174.26847359322,36939.59593261406,37200.0,37200.0,37200.0,37216.07761526059,37216.07761526059,37216.07761526059,37190.89849859885,37190.89849859885,37190.89849859885
2015-06-22,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37131.666666666664,37199.998471699655,37177.48491444177,36948.09770037998,37200.0,37200.0,37200.0,37214.03466853556,37214.03466853556,37214.03466853556,37190.88181516948,37190.88181516948,37190.88181516948
2015-06-23,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37155.0,37199.99923584983,37180.299300173065,36956.318690625616,37200.0,37200.0,37200.0,37212.203120115155,37212.203120115155,37212.203120115155,37191.04112734015,37191.04112734015,37191.04112734015
2015-06-24,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37178.333333333336,37199.999617924914,37182.761887679386,36964.26838214629,37200.0,37200.0,37200.0,37210.573633317515,37210.573633317515,37210.573633317515,37191.3367968075,37191.3367968075,37191.3367968075
2015-06-25,37200.0,,,94.8671139490955,,,0.0,0.0,,37200.0,37200.0,37180.0,37199.99980896246,37184.91665174087,36971.95592053738,37200.0,37200.0,37200.0,37209.133278244146,37209.133278244146,37209.133278244146,37191.73345232795,37191.73345232795,37191.73345232795
2015-06-26,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37181.666666666664,37199.99990448123,37186.80207028964,36979.39013074892,37200.0,37200.0,37200.0,37207.86714705472,37207.86714705472,37207.86714705472,37192.200535476964,37192.200535476964,37192.200535476964
2015-06-29,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37183.333333333336,37199.999952240614,37188.45181151598,36986.579529114395,37200.0,37200.0,37200.0,37206.75950065338,37206.75950065338,37206.75950065338,37192.71236378915,37192.71236378915,37192.71236378915
2015-06-30,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37185.0,37199.99997612031,37189.89533508609,36993.532334878815,37200.0,37200.0,37200.0,37205.794563784606,37205.794563784606,37205.794563784606,37193.24789475303,37193.24789475303,37193.24789475303
2015-07-01,37200.0,,,94.8671139490955,,,0.0,0.0,,37200.0,37200.0,37186.666666666664,37199.99998806015,37191.158418207684,37000.256481250064,37200.0,37200.0,37200.0,37204.957058482876,37204.957058482876,37204.957058482876,37193.79031864199,37193.79031864199,37193.79031864199
2015-07-02,37200.0,,,94.86711394909548,,,0.0,0.0,,37200.0,37200.0,37188.333333333336,37199.99999403008,37192.26361593736,37006.75962599594,37200.0,37200.0,37200.0,37204.232544736005,37204.232544736005,37204.232544736005,37194.32656764146,37194.32656764146,37194.32656764146
