Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,53560.0,,,46.76883216834241,,,-0.0018670301151990643,-1.0,,53560.0,53560.0,53560.666666666664,53560.0009765625,53560.42815456892,53569.269379422076,53560.0,53560.0,53560.0,53559.84216100351,53559.84216100351,53559.84216100351,53560.040979365855,53560.040979365855,53560.040979365855
2015-06-04,53560.0,,,46.76883216834241,,,0.0,0.0,,53560.0,53560.0,53560.63333333333,53560.00048828125,53560.37463518274,53568.95943363902,53560.0,53560.0,53560.0,53559.85000813389,53559.85000813389,53559.85000813389,53560.03994895143,53560.03994895143,53560.03994895143
2015-06-05,53560.0,,,46.76883216834241,,,0.0,0.0,,53560.0,53560.0,53560.6,53560.000244140625,53560.32780573508,53568.660204649095,53560.0,53560.0,53560.0,53559.86021958039,53559.86021958039,53559.86021958039,53560.04104032558,53560.04104032558,53560.04104032558
2015-06-08,53560.0,,,46.76883216834242,,,0.0,0.0,,53560.0,53560.0,53560.566666666666,53560.00012207031,53560.28682998006,53568.37129876286,53560.0,53560.0,53560.0,53559.87167618242,53559.87167618242,53559.87167618242,53560.04295203167,53560.04295203167,53560.04295203167
2015-06-09,53560.0,,,46.76883216834243,,,0.0,0.0,,53560.0,53560.0,53560.53333333333,53560.000061035156,53560.25097620335,53568.09233826913,53560.0,53560.0,53560.0,53559.88358758766,53559.88358758766,53559.88358758766,53560.04488826657,53560.04488826657,53560.04488826657
2015-06-10,53560.0,,,46.76883216834242,,,0.0,0.0,,53560.0,53560.0,53560.5,53560.00003051758,53560.21960415558,53567.822960688376,53560.0,53560.0,53560.0,53559.89540968249,53559.89540968249,53559.89540968249,53560.0463993866,53560.0463993866,53560.0463993866
2015-06-11,53560.0,,,46.76883216834242,,,0.0,0.0,,53560.0,53560.0,53560.46666666667,53560.00001525879,53560.19215361901,53567.562818067156,53560.0,53560.0,53560.0,53559.906781177946,53559.906781177946,53559.906781177946,53560.04726708534,53560.04726708534,53560.04726708534
2015-06-12,53560.0,,,46.76883216834241,,,0.0,0.0,,53560.0,53560.0,53560.433333333334,53560.000007629395,53560.16813440353,53567.31157631108,53560.0,53560.0,53560.0,53559.917475115304,53559.917475115304,53559.917475115304,53560.047422654934,53560.047422654934,53560.047422654934
2015-06-15,53560.0,,,46.76883216834241,,,0.0,0.0,,53560.0,53560.0,53560.4,53560.0000038147,53560.14711759306,53567.06891455371,53560.0,53560.0,53560.0,53559.92736196212,53559.92736196212,53559.92736196212,53560.04688959233,53560.04688959233,53560.04688959233
2015-06-16,53560.0,,,46.76883216834241,,,0.0,0.0,,53560.0,53560.0,53560.36666666667,53560.00000190735,53560.12872788624,53566.83452455916,53560.0,53560.0,53560.0,53559.93638168729,53559.93638168729,53559.93638168729,53560.045743987066,53560.045743987066,53560.045743987066
2015-06-17,53560.0,,,46.76883216834242,,,0.0,0.0,,53560.0,53560.0,53560.333333333336,53560.000000953674,53560.11263689458,53566.60811015638,53560.0,53560.0,53560.0,53559.94452276983,53559.94452276983,53559.94452276983,53560.04408778421,53560.04408778421,53560.04408778421
2015-06-18,53560.0,,,46.76883216834242,,,0.0,0.0,,53560.0,53560.0,53560.3,53560.00000047684,53560.09855727825,53566.38938670303,53560.0,53560.0,53560.0,53559.951806543446,53559.951806543446,53559.951806543446,53560.042031274585,53560.042031274585,53560.042031274585
