,Index,Date,Content,Company
0,70755,2025-01-08 14:06:00,<strong>Промена на сопственост</strong>,RZH Ekonomika AD Skopje
1,70754,2025-01-08 14:05:00,<strong>Промена на сопственост</strong>,RZH Ekonomika AD Skopje
2,70753,2025-01-08 09:08:00,Календар на настани 2025 година,Popova kula AD Demir Kapija
3,70752,2025-01-08 09:07:54,Календар на настани 2025 година,Popova kula AD Demir Kapija
4,70751,2025-01-03 14:06:00,Календар на настани за 2025 АД Дебарски Бањи - Цапа,Debarski banji - Capa AD Debar
5,70750,2025-01-03 14:06:00,Календар на настани во тековната година,Sovremen dom AD Prilep
6,70749,2025-01-03 14:06:00,Календар на настани во тековната година,Skopski Pazar AD Skopje
7,70748,2025-01-03 14:05:00,Календар на настани за 2025 АД Дебарски Бањи - Цапа,Debarski banji - Capa AD Debar
8,70747,2025-01-03 14:05:00,Календар на настани во тековната година,Sovremen dom AD Prilep
9,70746,2025-01-03 14:05:00,Календар на настани во тековната година,Skopski Pazar AD Skopje
10,70745,2025-01-02 14:19:00,,Makedonijaturist AD Skopje
11,70744,2025-01-02 14:18:00,,Makedonijaturist AD Skopje
12,70743,2025-01-02 14:17:00,,Makedonijaturist AD Skopje
13,70742,2025-01-02 14:18:07,,Makedonijaturist AD Skopje
14,70741,2025-01-02 14:17:16,,Makedonijaturist AD Skopje
15,70740,2025-01-02 14:16:45,,Makedonijaturist AD Skopje
16,70739,2025-01-02 14:06:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% односно компанијата Настел ДООЕЛ продаде 119 акции, со што поседува вкупно 17.747 ;или 6,85% од вкупниот број на акции.Член на Надзорниот Одбор на Реплек АД Скопје, Петар Андреевски се стекна со 20 нови акции при што вкупно поседува 30 акции",Replek AD Skopje
17,70738,2025-01-02 14:05:00,"Постапувајќи согласно член 38 од Правилата за котација на Македонска берза АД Скопје, Реплек АД Скопје објавуваАкционер со над 5% односно компанијата Настел ДООЕЛ продаде 119 акции, со што поседува вкупно 17.747 ;или 6,85% од вкупниот број на акции.Член на Надзорниот Одбор на Реплек АД Скопје, Петар Андреевски се стекна со 20 нови акции при што вкупно поседува 30 акции",Replek AD Skopje
18,70737,2024-12-31 08:53:35,"NLB Banka AD ;Skopje, together with ;NLB Lease&amp;Go, leasing d.o.o. Ljubljana increased the share capital of the company – “NLB Lease&amp;Go Skopje”. ;NLB Banka AD Skopje owns 49% of the company's total founding capital.The offer of NLB Lease&amp;Go Skopje is intended for individuals and legal entities and includes ;financial ;lease of new and used cars, trucks, buses, vessels, agricultural and construction machinery, as well as other types of equipment and machines.The operational model of the company is focused on creating innovative and simple solutions for a superior user experience and full digitization of processes, with maximum customer protection and the business activity includes a wide range of leasing solutions, including insurance and other related services for the use of vehicles and equipment that will be leased.",NLB Banka AD Skopje
19,70736,2024-12-31 08:53:31,"НЛБ Банка АД Скопје заедно со НЛБ Леасе ;&amp; ;Го, лизинг д.о.о. Љубљана изврши докапитализација на основната главнина на друштвото - „ НЛБ ЛЕАСЕ &amp; ГО СКОПЈЕ“.НЛБ Банка АД Скопје поседува 49% од вкупниот основачки капитал на друштвото.Понудата на НЛБ Леасе&amp;Го ДОО Скопје е наменета за физички и правни лица и опфаќа финансиски лизинг и закуп на нови и користени автомобили, товарни возила, автобуси, пловила, земјоделска и градежна механизација, како и друг вид опрема и машини.Оперативниот модел на друштвото е фокусиран на креирање иновативни и едноставни решенија за врвно корисничко искуство и целосна дигитализација на процесите, со максимална заштита на клиентите, а деловната активност опфаќа широк спектар на решенија за лизинг, вклучувајќи и други придружни услуги за користење на возилата и опремата кои ќе бидат дадени на финансиски лизинг или под ; закуп.",NLB Banka AD Skopje
20,70735,2024-12-31 08:49:00,"Предлог одлука  ;за задолжување,заложување на недвижен и подвижен имот и обезбедување со меници",Tutunski kombinat AD Prilep
21,70734,2024-12-31 08:49:00,Јавен повик за свикување на седница на Собрание на акционери на Тутунски комбинат АД Прилеп,Tutunski kombinat AD Prilep
22,70733,2024-12-31 08:48:50,"Предлог одлука  ;за задолжување,заложување на недвижен и подвижен имот и обезбедување со меници",Tutunski kombinat AD Prilep
23,70732,2024-12-31 08:48:47,Јавен повик за свикување на седница на Собрание на акционери на Тутунски комбинат АД Прилеп,Tutunski kombinat AD Prilep
24,70731,2024-12-30 15:07:55,"NLB Bankа AD Skopje informs that it has realized transaction with Nova Ljubljanska banka d.d., Ljubljana on the basis of ;prepayment of ;Subordinated Loan Agreement amounting to EUR ;10 million.Nova Ljubljanska banka d.d., Ljubljana is the dominant shareholder of NLB Bankа AD Skopje with 86.97% share in the total number of shares of the Bank.The subordinated loan was ;qualified as an additional Tier II capital for the Bank. ; ;",NLB Banka AD Skopje
