Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0016210713979,307.8140737978904,300.0,300.0,300.0,299.9998943071177,299.9998943071177,299.9998943071177,300.0007288012002,300.0007288012002,300.0007288012002
2015-06-04,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0014184372268,307.55278993930415,300.0,300.0,300.0,299.99991252929647,299.99991252929647,299.99991252929647,300.00061120094625,300.00061120094625,300.00061120094625
2015-06-05,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00124113238485,307.3005403222273,300.0,300.0,300.0,299.999927619208,299.999927619208,299.999927619208,300.00051241979264,300.00051241979264,300.00051241979264
2015-06-08,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00108599069233,307.0569930670254,300.0,300.0,300.0,299.99994011347246,299.99994011347246,299.99994011347246,300.0004294751377,300.0004294751377,300.0004294751377
2015-06-09,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0009502417453,306.82182976370245,300.0,300.0,300.0,299.99995045712154,299.99995045712154,299.99995045712154,300.00035985173474,300.00035985173474,300.00035985173474
2015-06-10,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00083146144243,306.59474484251274,300.0,300.0,300.0,299.99995901916355,299.99995901916355,299.99995901916355,300.0003014294537,300.0003014294537,300.0003014294537
2015-06-11,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0007275286973,306.3754449792071,300.0,300.0,300.0,299.9999661055169,299.9999661055169,299.9999661055169,300.00025242202383,300.00025242202383,300.00025242202383
2015-06-12,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00063658756056,306.16364853268396,300.0,300.0,300.0,299.9999719697529,299.9999719697529,299.9999719697529,300.00021132512177,300.00021132512177,300.00021132512177
2015-06-15,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0005570140775,305.95908501298067,300.0,300.0,300.0,299.99997682201825,299.99997682201825,299.99997682201825,300.00017687240774,300.00017687240774,300.00017687240774
2015-06-16,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00048738728873,305.76149457769037,300.0,300.0,300.0,299.99998083644317,299.99998083644317,299.99998083644317,300.00014799831763,300.00014799831763,300.00014799831763
2015-06-17,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0004264638554,305.57062755502807,300.0,300.0,300.0,299.9999841572915,299.9999841572915,299.9999841572915,300.0001238065904,300.0001238065904,300.0001238065904
2015-06-18,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00037315585644,305.38624399189587,300.0,300.0,300.0,299.9999869040646,299.9999869040646,299.9999869040646,300.00010354366106,300.00010354366106,300.00010354366106
2015-06-19,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0003265113613,305.20811322541533,300.0,300.0,300.0,299.99998917573697,299.99998917573697,299.99998917573697,300.0000865761818,300.0000865761818,300.0000865761818
2015-06-22,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00028569743114,305.0360134765014,300.0,300.0,300.0,299.99999105427014,299.99999105427014,299.99999105427014,300.0000723720395,300.0000723720395,300.0000723720395
2015-06-23,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0002499852446,304.86973146415164,300.0,300.0,300.0,299.9999926075273,299.9999926075273,299.9999926075273,300.00006048433363,300.00006048433363,300.00006048433363
2015-06-24,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0002187370832,304.7090620392169,300.0,300.0,300.0,299.9999938916902,299.9999938916902,299.9999938916902,300.0000505378607,300.0000505378607,300.0000505378607
2015-06-25,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00019139494333,304.5538078365027,300.0,300.0,300.0,299.99999495326404,299.99999495326404,299.99999495326404,300.00004221771917,300.00004221771917,300.00004221771917
2015-06-26,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00016747057197,304.40377894412876,300.0,300.0,300.0,299.99999583073867,299.99999583073867,299.99999583073867,300.000035259704,300.000035259704,300.000035259704
2015-06-29,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0001465367478,304.2587925891474,300.0,300.0,300.0,299.9999965559659,299.9999965559659,299.9999965559659,300.00002944221643,300.00002944221643,300.00002944221643
2015-06-30,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00012821965237,304.11867283848585,300.0,300.0,300.0,299.99999715530095,299.99999715530095,299.99999715530095,300.0000245794513,300.0000245794513,300.0000245794513
2015-07-01,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0001121921943,303.9832503143413,300.0,300.0,300.0,299.9999976505483,299.9999976505483,299.9999976505483,300.0000205156626,300.0000205156626,300.0000205156626
2015-07-02,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00009816816885,303.8523619232134,300.0,300.0,300.0,299.99999805974534,299.99999805974534,299.99999805974534,300.0000171203395,300.0000171203395,300.0000171203395
2015-07-03,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00008589714685,303.7258505978114,300.0,300.0,300.0,299.9999983978113,299.9999983978113,299.9999983978113,300.00001428415004,300.00001428415004,300.00001428415004
2015-07-06,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00007516000284,303.60356505112446,300.0,300.0,300.0,299.9999986770848,299.9999986770848,299.9999986770848,300.0000119155283,300.0000119155283,300.0000119155283
2015-07-07,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.000065765002,303.48535954198496,300.0,300.0,300.0,299.9999989077692,299.9999989077692,299.9999989077692,300.00000993781043,300.00000993781043,300.00000993781043
2015-07-08,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000575443763,303.3710936515019,300.0,300.0,300.0,299.9999990983012,299.9999990983012,299.9999990983012,300.0000082868257,300.0000082868257,300.0000082868257
2015-07-09,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000503513289,303.26063206977625,300.0,300.0,300.0,299.99999925565555,299.99999925565555,299.99999925565555,300.0000069088744,300.0000069088744,300.0000069088744
2015-07-10,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000440574126,303.15384439234947,300.0,300.0,300.0,299.9999993855984,299.9999993855984,299.9999993855984,300.0000057590324,300.0000057590324,300.0000057590324
2015-07-13,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00003855023584,303.050604925869,300.0,300.0,300.0,299.99999949289577,299.99999949289577,299.99999949289577,300.0000047997243,300.0000047997243,300.0000047997243
2015-07-14,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00003373145626,302.950792502486,300.0,300.0,300.0,299.99999958148663,299.99999958148663,299.99999958148663,300.0000039995305,300.0000039995305,300.0000039995305
2015-07-15,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000295150241,302.85429030253147,300.0,300.0,300.0,299.9999996546265,299.9999996546265,299.9999996546265,300.0000033321848,300.0000033321848,300.0000033321848
2015-07-16,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.000025825646,302.76098568504113,300.0,300.0,300.0,299.9999997150052,299.9999997150052,299.9999997150052,300.0000027757339,300.0000027757339,300.0000027757339
2015-07-20,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000225974402,302.6707700257292,300.0,300.0,300.0,299.99999976484526,299.99999976484526,299.99999976484526,300.00000231183327,300.00000231183327,300.00000231183327
2015-07-21,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00001977276014,302.5835385620311,300.0,300.0,300.0,299.99999980598295,299.99999980598295,299.99999980598295,300.00000192515813,300.00000192515813,300.00000192515813
2015-07-22,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000173011651,302.4991902448593,300.0,300.0,300.0,299.99999983993524,299.99999983993524,299.99999983993524,300.00000160290847,300.00000160290847,300.00000160290847
2015-07-23,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000151385194,302.4176275967375,300.0,300.0,300.0,299.999999867955,299.999999867955,299.999999867955,300.00000133439573,300.00000133439573,300.00000133439573
2015-07-24,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00001324620445,302.3387565759962,300.0,300.0,300.0,299.99999989107715,299.99999989107715,299.99999989107715,300.00000111069653,300.00000111069653,300.00000111069653
2015-07-27,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00001159042887,302.2624864467319,300.0,300.0,300.0,299.99999991015636,299.99999991015636,299.99999991015636,300.0000009243619,300.0000009243619,300.0000009243619
2015-07-28,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000101416253,302.18872965424947,300.0,300.0,300.0,299.99999992589846,299.99999992589846,299.99999992589846,300.00000076917604,300.00000076917604,300.00000076917604
2015-07-29,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000088739221,302.1174017057214,300.0,300.0,300.0,299.9999999388862,299.9999999388862,299.9999999388862,300.00000063995213,300.00000063995213,300.00000063995213
2015-07-30,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000776468187,302.0484210558145,300.0,300.0,300.0,299.9999999496008,299.9999999496008,299.9999999496008,300.00000053236386,300.00000053236386,300.00000053236386
2015-07-31,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000679409663,301.98170899704655,300.0,300.0,300.0,299.99999995843945,299.99999995843945,299.99999995843945,300.000000442802,300.000000442802,300.000000442802
2015-08-04,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000059448345,301.91718955465035,300.0,300.0,300.0,299.9999999657301,299.9999999657301,299.9999999657301,300.00000036825776,300.00000036825776,300.00000036825776
2015-08-05,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000052017302,301.85478938573294,300.0,300.0,300.0,299.99999997174353,299.99999997174353,299.99999997174353,300.0000003062219,300.0000003062219,300.0000003062219
2015-08-06,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000045515139,301.79443768253054,300.0,300.0,300.0,299.9999999767031,299.9999999767031,299.9999999767031,300.00000025460287,300.00000025460287,300.00000025460287
2015-08-07,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000398257464,301.73606607956987,300.0,300.0,300.0,299.99999998079335,299.99999998079335,299.99999998079335,300.00000021165806,300.00000021165806,300.00000021165806
2015-08-10,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000034847528,301.67960856455664,300.0,300.0,300.0,299.9999999841664,299.9999999841664,299.9999999841664,300.0000001759346,300.0000001759346,300.0000001759346
2015-08-11,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000304915875,301.6250013928222,300.0,300.0,300.0,299.9999999869478,299.9999999869478,299.9999999869478,300.00000014622225,300.00000014622225,300.00000014622225
2015-08-12,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000026680139,301.5721830051661,300.0,300.0,300.0,299.99999998924125,299.99999998924125,299.99999998924125,300.00000012151276,300.00000012151276,300.00000012151276
2015-08-13,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000233451215,301.5210939489442,300.0,300.0,300.0,299.99999999113214,299.99999999113214,299.99999999113214,300.00000010096664,300.00000010096664,300.00000010096664
2015-08-14,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000020426981,301.47167680225584,300.0,300.0,300.0,299.9999999926911,299.9999999926911,299.9999999926911,300.0000000838846,300.0000000838846,300.0000000838846
2015-08-17,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000017873608,301.4238761010942,300.0,300.0,300.0,299.9999999939763,299.9999999939763,299.9999999939763,300.00000006968446,300.00000006968446,300.00000006968446
2015-08-18,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000015639407,301.3776382693293,300.0,300.0,300.0,299.9999999950358,299.9999999950358,299.9999999950358,300.0000000578814,300.0000000578814,300.0000000578814
2015-08-19,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000013684481,301.3329115513998,300.0,300.0,300.0,299.9999999959091,299.9999999959091,299.9999999959091,300.00000004807197,300.00000004807197,300.00000004807197
2015-08-20,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000011973921,301.2896459475968,300.0,300.0,300.0,299.999999996629,299.999999996629,299.999999996629,300.00000003992074,300.00000003992074,300.00000003992074
2015-08-21,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000010477181,301.24779315182724,300.0,300.0,300.0,299.99999999722235,299.99999999722235,299.99999999722235,300.00000003314796,300.00000003314796,300.00000003314796
2015-08-24,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000009167534,301.2073064917517,300.0,300.0,300.0,299.99999999771137,299.99999999771137,299.99999999771137,300.0000000275211,300.0000000275211,300.0000000275211
2015-08-25,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000008021592,301.1681408711946,300.0,300.0,300.0,299.99999999811433,299.99999999811433,299.99999999811433,300.00000002284685,300.00000002284685,300.00000002284685
2015-08-26,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000070188935,301.1302527147323,300.0,300.0,300.0,299.9999999984465,299.9999999984465,299.9999999984465,300.00000001896484,300.00000001896484,300.00000001896484
2015-08-27,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000006141532,301.09359991436617,300.0,300.0,300.0,299.99999999872017,299.99999999872017,299.99999999872017,300.0000000157405,300.0000000157405,300.0000000157405
2015-08-31,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000053738404,301.05814177819474,300.0,300.0,300.0,299.9999999989457,299.9999999989457,299.9999999989457,300.0000000130632,300.0000000130632,300.0000000130632
2015-09-01,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000047021103,301.02383898100175,300.0,300.0,300.0,299.99999999913155,299.99999999913155,299.99999999913155,300.00000001084004,300.00000001084004,300.00000001084004
2015-09-02,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000041143466,300.99065351668065,300.0,300.0,300.0,299.9999999992847,299.9999999992847,299.9999999992847,300.0000000089945,300.0000000089945,300.0000000089945
2015-09-03,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000003600053,300.9585486524213,300.0,300.0,300.0,299.99999999941076,299.99999999941076,299.99999999941076,300.00000000746223,300.00000000746223,300.00000000746223
2015-09-04,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000003150046,300.9274888845863,300.0,300.0,300.0,299.99999999951467,299.99999999951467,299.99999999951467,300.00000000619036,300.00000000619036,300.00000000619036
2015-09-07,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.000000275629,300.8974398962084,300.0,300.0,300.0,299.9999999996002,299.9999999996002,299.9999999996002,300.0000000051348,300.0000000051348,300.0000000051348
2015-09-09,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000024117537,300.86836851604494,300.0,300.0,300.0,299.99999999967076,299.99999999967076,299.99999999967076,300.00000000425894,300.00000000425894,300.00000000425894
2015-09-10,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000021102846,300.84024267912497,300.0,300.0,300.0,299.99999999972886,299.99999999972886,299.99999999972886,300.00000000353214,300.00000000353214,300.00000000353214
2015-09-11,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000018464993,300.81303138873153,300.0,300.0,300.0,299.9999999997767,299.9999999997767,299.9999999997767,300.000000002929,300.000000002929,300.000000002929
2015-09-14,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000001615687,300.7867046797609,300.0,300.0,300.0,299.99999999981617,299.99999999981617,299.99999999981617,300.0000000024288,300.0000000024288,300.0000000024288
2015-09-15,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000014137265,300.76123358340516,300.0,300.0,300.0,299.9999999998486,299.9999999998486,299.9999999998486,300.0000000020138,300.0000000020138,300.0000000020138
2015-09-16,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000012370106,300.7365900931059,300.0,300.0,300.0,299.99999999987534,299.99999999987534,299.99999999987534,300.00000000166943,300.00000000166943,300.00000000166943
2015-09-17,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000001082384,300.7127471317296,300.0,300.0,300.0,299.99999999989734,299.99999999989734,299.99999999989734,300.0000000013839,300.0000000013839,300.0000000013839
2015-09-18,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000009470864,300.68967851991704,300.0,300.0,300.0,299.99999999991553,299.99999999991553,299.99999999991553,300.00000000114716,300.00000000114716,300.00000000114716
2015-09-21,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000008287003,300.66735894556155,300.0,300.0,300.0,299.9999999999305,299.9999999999305,299.9999999999305,300.00000000095093,300.00000000095093,300.00000000095093
2015-09-22,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000725112,300.6457639343727,300.0,300.0,300.0,299.9999999999427,299.9999999999427,299.9999999999427,300.0000000007879,300.0000000007879,300.0000000007879
2015-09-23,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000634473,300.6248698214837,300.0,300.0,300.0,299.9999999999529,299.9999999999529,299.9999999999529,300.00000000065296,300.00000000065296,300.00000000065296
2015-09-24,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000005551635,300.60465372406264,300.0,300.0,300.0,299.99999999996123,299.99999999996123,299.99999999996123,300.0000000005411,300.0000000005411,300.0000000005411
2015-09-25,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000004857685,300.58509351488976,300.0,300.0,300.0,299.9999999999681,299.9999999999681,299.9999999999681,300.0000000004484,300.0000000004484,300.0000000004484
2015-09-28,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000425048,300.5661677968642,300.0,300.0,300.0,299.9999999999738,299.9999999999738,299.9999999999738,300.0000000003715,300.0000000003715,300.0000000003715
2015-09-29,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000371917,300.5478558784048,300.0,300.0,300.0,299.9999999999784,299.9999999999784,299.9999999999784,300.00000000030775,300.00000000030775,300.00000000030775
2015-09-30,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000325427,300.5301377497121,300.0,300.0,300.0,299.99999999998226,299.99999999998226,299.99999999998226,300.0000000002549,300.0000000002549,300.0000000002549
2015-10-01,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000002847486,300.51299405985907,300.0,300.0,300.0,299.9999999999854,299.9999999999854,299.9999999999854,300.00000000021123,300.00000000021123,300.00000000021123
2015-10-02,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000249155,300.49640609467946,300.0,300.0,300.0,299.99999999998795,299.99999999998795,299.99999999998795,300.0000000001748,300.0000000001748,300.0000000001748
2015-10-05,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000002180104,300.4803557554249,300.0,300.0,300.0,299.9999999999901,299.9999999999901,299.9999999999901,300.00000000014484,300.00000000014484,300.00000000014484
2015-10-06,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000190759,300.4648255381619,300.0,300.0,300.0,299.99999999999187,299.99999999999187,299.99999999999187,300.00000000011994,300.00000000011994,300.00000000011994
2015-10-07,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000001669144,300.4497985138815,300.0,300.0,300.0,299.9999999999933,299.9999999999933,299.9999999999933,300.0000000000993,300.0000000000993,300.0000000000993
2015-10-08,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.000000014605,300.435258309296,300.0,300.0,300.0,299.99999999999443,299.99999999999443,299.99999999999443,300.0000000000821,300.0000000000821,300.0000000000821
2015-10-09,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000001277937,300.421189088297,300.0,300.0,300.0,299.9999999999954,299.9999999999954,299.9999999999954,300.000000000068,300.000000000068,300.000000000068
2015-10-13,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000001118195,300.40757553405155,300.0,300.0,300.0,299.99999999999625,299.99999999999625,299.99999999999625,300.0000000000564,300.0000000000564,300.0000000000564
2015-10-14,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000097842,300.3944028317118,300.0,300.0,300.0,299.99999999999693,299.99999999999693,299.99999999999693,300.00000000004667,300.00000000004667,300.00000000004667
2015-10-15,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000085612,300.3816566517181,300.0,300.0,300.0,299.9999999999975,299.9999999999975,299.9999999999975,300.00000000003865,300.00000000003865,300.00000000003865
2015-10-16,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000000749105,300.36932313367237,300.0,300.0,300.0,299.99999999999795,299.99999999999795,299.99999999999795,300.000000000032,300.000000000032,300.000000000032
2015-10-19,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000000655467,300.3573888707619,300.0,300.0,300.0,299.99999999999835,299.99999999999835,299.99999999999835,300.0000000000265,300.0000000000265,300.0000000000265
2015-10-20,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000000573533,300.34584089471434,300.0,300.0,300.0,299.9999999999987,299.9999999999987,299.9999999999987,300.0000000000221,300.0000000000221,300.0000000000221
2015-10-21,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000050184,300.33466666126395,300.0,300.0,300.0,299.999999999999,299.999999999999,299.999999999999,300.00000000001836,300.00000000001836,300.00000000001836
2015-10-22,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.0000000043911,300.32385403611187,300.0,300.0,300.0,299.9999999999992,299.9999999999992,299.9999999999992,300.0000000000153,300.0000000000153,300.0000000000153
2015-10-26,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0,300.00000000384216,300.31339128136227,300.0,300.0,300.0,299.9999999999994,299.9999999999994,299.9999999999994,300.00000000001273,300.00000000001273,300.00000000001273
