Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.99779310126917,349.06314447149276,350.0,350.0,350.0,350.0003379434902,350.0003379434902,350.0003379434902,349.9985539224415,349.9985539224415,349.9985539224415
2015-06-04,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.99806896394585,349.09447067006187,350.0,350.0,350.0,350.0002813079013,350.0002813079013,350.0002813079013,349.9987705074249,349.9987705074249,349.9987705074249
2015-06-05,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.9983103437094,349.12471372310114,350.0,350.0,350.0,350.0002340953864,350.0002340953864,350.0002340953864,349.9989554231081,349.9989554231081,349.9989554231081
2015-06-08,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.9985215509423,349.15391342077356,350.0,350.0,350.0,350.000194751624,350.000194751624,350.000194751624,349.99911315582835,349.99911315582835,349.99911315582835
2015-06-09,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.998706357225,349.1821079383221,350.0,350.0,350.0,350.00016197599376,350.00016197599376,350.00016197599376,349.9992475837986,349.9992475837986,349.9992475837986
2015-06-10,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.9988680626871,349.20933391152886,350.0,350.0,350.0,350.0001346807043,350.0001346807043,350.0001346807043,349.9993620542346,349.9993620542346,349.9993620542346
2015-06-11,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.99900955493945,349.2356265080224,350.0,350.0,350.0,350.0001119563964,350.0001119563964,350.0001119563964,349.9994594517581,349.9994594517581,349.9994594517581
2015-06-12,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.9991333606395,349.26101949469944,350.0,350.0,350.0,350.0000930432185,350.0000930432185,350.0000930432185,349.99954225883846,349.99954225883846,349.99954225883846
2015-06-15,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.9992416906113,349.2855453015093,350.0,350.0,350.0,350.0000773065219,350.0000773065219,350.0000773065219,349.9996126090253,349.9996126090253,349.9996126090253
2015-06-16,350.0,,,100.0,,,0.0,0.0,,350.0,350.0,350.0,350.0,349.9993364793245,349.30923508182997,350.0,350.0,350.0,350.00006421645156,350.00006421645156,350.00006421645156,349.9996723336903,349.9996723336903,349.9996723336903
