Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,88000.0,87400.0,88500.0,54.13975955304067,,,1.1482626636475368,999.0,,88000.0,88671.28571428571,87499.26666666666,88289.1536198527,88170.06367989472,87431.68269244916,88623.4,88623.4,88623.4,88674.09769786843,88674.09769786843,88674.09769786843,88507.64002860233,88507.64002860233,88507.64002860233
2015-06-04,88500.0,88000.0,88500.0,60.488952405648156,,,0.5681818181818121,500.0,,88500.0,88599.85714285714,87582.6,88394.57680992635,88211.30577004532,87467.40465714148,88592.54545454546,88592.54545454546,88592.54545454546,88662.16608019154,88662.16608019154,88662.16608019154,88496.48869984807,88496.48869984807,88496.48869984807
2015-06-05,86000.0,86000.0,86000.0,34.65459352927436,,,-3.369700783154872,-2999.0,,86000.0,88242.71428571429,87565.93333333333,87197.28840496318,87934.89225476162,87418.39597745685,88098.05454545455,88098.05454545455,88098.05454545455,87822.37165578995,87822.37165578995,87822.37165578995,87355.47713445623,87355.47713445623,87355.47713445623
2015-06-08,84800.0,84800.0,84800.0,28.387399321241745,,,-4.718030539668982,-4199.0,,84800.0,87642.71428571429,87509.26666666666,85998.64420248159,87543.0303581872,87331.04584648099,87439.90909090909,87439.90909090909,87439.90909090909,86803.25731694953,86803.25731694953,86803.25731694953,86057.02410550384,86057.02410550384,86057.02410550384
2015-06-09,84500.0,84500.0,84500.0,27.069398614888595,,,-5.0561797752809,-4500.0,,84500.0,86999.85714285714,87429.33333333333,85249.3221012408,87162.6512536275,87236.70565274777,86803.56363636363,86803.56363636363,86803.56363636363,85955.64334410761,85955.64334410761,85955.64334410761,85080.42647217793,85080.42647217793,85080.42647217793
2015-06-10,84000.0,84000.0,84000.0,24.987116315008564,,,-5.0847457627118615,-4500.0,,84000.0,86285.71428571429,87329.66666666667,84624.6610506204,86767.31956520563,87128.96226519223,86158.12727272727,86158.12727272727,86158.12727272727,85174.82264016855,85174.82264016855,85174.82264016855,84245.13199219541,84245.13199219541,84245.13199219541
2015-06-11,84000.0,,,24.987116315008564,,,-5.61797752808989,-5000.0,,84000.0,85685.71428571429,87230.0,84312.3305253102,86421.4044038643,87024.91259937016,85594.5090909091,85594.5090909091,85594.5090909091,84613.2873709145,84613.2873709145,84613.2873709145,83741.1245914975,83741.1245914975,83741.1245914975
2015-06-12,84000.0,84000.0,84000.0,24.987116315008567,,,-5.61797752808989,-5000.0,,84000.0,85114.28571428571,87130.0,84156.1652626551,86118.72868824315,86924.42302700633,85121.8,85121.8,85121.8,84217.1096329539,84217.1096329539,84217.1096329539,83464.0474256211,83464.0474256211,83464.0474256211
2015-06-15,83800.0,83601.0,83800.0,24.062388797480562,,,-5.841638670097415,-5199.0,,83800.0,84442.85714285714,87023.33333333333,83978.08263132755,85828.88746384405,86820.72746940643,84703.63636363637,84703.63636363637,84703.63636363637,83878.60686182477,83878.60686182477,83878.60686182477,83248.17289912979,83248.17289912979,83248.17289912979
2015-06-16,83800.0,83800.0,84000.0,24.062388797480562,,,-4.9886621315192725,-4400.0,,83800.0,84128.57142857143,86916.63333333333,83889.04131566378,85575.276424925,86720.56664701957,84380.0,84380.0,84380.0,83649.40725927305,83649.40725927305,83649.40725927305,83160.9781517457,83160.9781517457,83160.9781517457
2015-06-17,84000.0,84000.0,84000.0,27.187551586867976,,,-4.545454545454541,-4000.0,,84000.0,84014.28571428571,86816.63333333333,83944.52065783189,85378.36679983784,86630.4396063934,84172.72727272728,84172.72727272728,84172.72727272728,83567.07009527484,83567.07009527484,83567.07009527484,83246.160808157,83246.160808157,83246.160808157
2015-06-18,84000.0,84000.0,84000.0,27.18755158686798,,,-5.0847457627118615,-4500.0,,84000.0,83942.85714285714,86716.63333333333,83972.26032891595,85206.0708947549,86543.37404287478,84038.18181818182,84038.18181818182,84038.18181818182,83526.26356085375,83526.26356085375,83526.26356085375,83349.83531487489,83349.83531487489,83349.83531487489
2015-06-19,83000.0,83000.0,85001.0,21.949403163072635,,,-3.488372093023251,-3000.0,,83000.0,83800.0,86583.3,83486.13016445798,84930.31195574212,86426.18961247502,83803.63636363637,83803.63636363637,83803.63636363637,83184.02898621304,83184.02898621304,83184.02898621304,83006.21878746427,83006.21878746427,83006.21878746427
2015-06-22,87000.0,87000.0,87000.0,57.34825520352707,,,2.594339622641506,2200.0,,87000.0,84228.57142857143,86583.3,85243.06508222899,85189.02302462238,86445.15091752795,84350.90909090909,84350.90909090909,84350.90909090909,84271.16025488454,84271.16025488454,84271.16025488454,84621.83186411111,84621.83186411111,84621.83186411111
2015-06-23,85000.0,85000.0,85000.0,46.09201541483356,,,0.591715976331364,500.0,,85000.0,84371.42857142857,86516.63333333333,85121.53254111449,85165.39514148225,86397.43408677742,84494.54545454546,84494.54545454546,84494.54545454546,84427.96183953622,84427.96183953622,84427.96183953622,84818.8819126241,84818.8819126241,84818.8819126241
2015-06-24,87000.0,87000.0,87000.0,55.49859140382472,,,3.571428571428581,3000.0,,87000.0,84828.57142857143,86509.96666666666,86060.76627055724,85394.72079178887,86417.3148377953,84992.72727272728,84992.72727272728,84992.72727272728,85212.9955667977,85212.9955667977,85212.9955667977,85857.74915990638,85857.74915990638,85857.74915990638
2015-06-25,85900.0,84000.0,86000.0,50.29991162073545,,,2.261904761904754,1900.0,,85900.0,85128.57142857143,86471.63333333333,85980.38313527862,85457.88070317583,86400.25936007484,85236.36363636363,85236.36363636363,85236.36363636363,85433.95217540092,85433.95217540092,85433.95217540092,86046.21381059871,86046.21381059871,86046.21381059871
2015-06-26,84700.0,83999.0,84700.0,45.31325347470428,,,0.8333333333333304,700.0,,84700.0,85228.57142857143,86393.3,85340.19156763931,85363.14560168129,86344.24293652362,85227.27272727272,85227.27272727272,85227.27272727272,85200.57760180799,85200.57760180799,85200.57760180799,85610.50483027744,85610.50483027744,85610.50483027744
