Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.00000000023283,300.07469780306246,302.3324799478065,300.0,300.0,300.0,299.961779781695,299.961779781695,299.961779781695,300.0648389219625,300.0648389219625,300.0648389219625
2015-06-04,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000001164,300.0653605663285,302.25448742091197,300.0,300.0,300.0,299.9676688754246,299.9676688754246,299.9676688754246,300.0578683764753,300.0578683764753,300.0578683764753
2015-06-05,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000582,300.0571904868467,302.17919159073534,300.0,300.0,300.0,299.97267995881634,299.97267995881634,299.97267995881634,300.0514468308004,300.0514468308004,300.0514468308004
2015-06-08,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000291,300.050041669337,302.10649339210113,300.0,300.0,300.0,299.9769376275722,299.9769376275722,299.9769376275722,300.04557640872775,300.04557640872775,300.04557640872775
2015-06-09,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.00000000001455,300.0437864555755,302.03629778048446,300.0,300.0,300.0,299.9805501950015,299.9805501950015,299.9805501950015,300.0402455259467,300.0402455259467,300.0402455259467
2015-06-10,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000073,300.0383131447282,301.96851354414065,300.0,300.0,300.0,299.9836114940244,299.9836114940244,299.9836114940244,300.0354328567933,300.0354328567933,300.0354328567933
2015-06-11,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.00000000000364,300.03352399865094,301.9030531265727,300.0,300.0,300.0,299.9862025621628,299.9862025621628,299.9862025621628,300.0311104840351,300.0311104840351,300.0311104840351
2015-06-12,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000018,300.02933349653324,301.8398324586714,300.0,300.0,300.0,299.988393192498,299.988393192498,299.988393192498,300.0272463663029,300.0272463663029,300.0272463663029
2015-06-15,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000009,300.0256668077161,301.77877079991293,300.0,300.0,300.0,299.9902433436316,299.9902433436316,299.9902433436316,300.0238062415391,300.0238062415391,300.0238062415391
2015-06-16,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.00000000000045,300.0224584554114,301.7197905880397,300.0,300.0,300.0,299.9918044086506,299.9918044086506,299.9918044086506,300.020755069002,300.020755069002,300.020755069002
2015-06-17,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000002,300.0196511474589,301.66281729669737,300.0,300.0,300.0,299.9931203477575,299.9931203477575,299.9931203477575,300.01805809754376,300.01805809754376,300.01805809754376
2015-06-18,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.0000000000001,300.0171947532409,301.6077793005337,300.0,300.0,300.0,299.99422869219245,299.99422869219245,299.99422869219245,300.01568163434615,300.01568163434615,300.01568163434615
2015-06-19,300.0,,,0.0,,,0.0,0.0,,300.0,300.0,300.0,300.00000000000006,300.01504540848435,301.5546077473017,300.0,300.0,300.0,299.99516142880776,299.99516142880776,299.99516142880776,300.0135935762412,300.0135935762412,300.0135935762412
