Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5892.066666666667,5918.999925725162,5914.135173251496,5877.085566024297,5919.0,5919.0,5919.0,5922.523790770871,5922.523790770871,5922.523790770871,5919.423227479174,5919.423227479174,5919.423227479174
2015-06-04,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5892.066666666667,5918.999962862581,5914.743277334323,5878.487084018993,5919.0,5919.0,5919.0,5922.113830536643,5922.113830536643,5922.113830536643,5919.010855018592,5919.010855018592,5919.010855018592
2015-06-05,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5892.066666666667,5918.9999814312905,5915.275368233531,5879.840142640377,5919.0,5919.0,5919.0,5921.736457800122,5921.736457800122,5921.736457800122,5918.700121867151,5918.700121867151,5918.700121867151
2015-06-08,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5892.066666666667,5918.999990715645,5915.740947637682,5881.146522079854,5919.0,5919.0,5919.0,5921.393374966578,5921.393374966578,5921.393374966578,5918.473941027494,5918.473941027494,5918.473941027494
2015-06-09,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5897.7,5918.999995357823,5916.14832951475,5882.407930278135,5919.0,5919.0,5919.0,5921.084588112171,5921.084588112171,5921.084588112171,5918.316944323436,5918.316944323436,5918.316944323436
2015-06-10,5919.0,5919.0,5919.0,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5897.7,5918.999997678911,5916.504788579423,5883.626006301252,5919.0,5919.0,5919.0,5920.808967553035,5920.808967553035,5920.808967553035,5918.215628534425,5918.215628534425,5918.215628534425
2015-06-11,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5897.7,5918.999998839456,5916.816690201477,5884.802323530798,5919.0,5919.0,5919.0,5920.564660648056,5920.564660648056,5920.564660648056,5918.158354060454,5918.158354060454,5918.158354060454
2015-06-12,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5899.466666666666,5918.999999419728,5917.089604075193,5885.9383926803475,5919.0,5919.0,5919.0,5920.34939203735,5920.34939203735,5920.34939203735,5918.135251731611,5918.135251731611,5918.135251731611
2015-06-15,5919.0,,,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5919.0,5918.999999709864,5917.328403679796,5887.035664649133,5919.0,5919.0,5919.0,5920.160678602502,5920.160678602502,5920.160678602502,5918.138076788262,5918.138076788262,5918.138076788262
2015-06-16,5919.0,5919.0,5919.0,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5919.0,5918.999999854932,5917.537353307103,5888.095533223249,5919.0,5919.0,5919.0,5919.995980233637,5919.995980233637,5919.995980233637,5918.160036888599,5918.160036888599,5918.160036888599
2015-06-17,5919.0,5919.0,5919.0,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5919.0,5918.999999927466,5917.7201842105405,5889.119337633911,5919.0,5919.0,5919.0,5919.852802640144,5919.852802640144,5919.852802640144,5918.195612150543,5918.195612150543,5918.195612150543
2015-06-18,5919.0,5919.0,5919.0,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5919.0,5918.999999963733,5917.880161235386,5890.108364981617,5919.0,5919.0,5919.0,5919.7287646597015,5919.7287646597015,5919.7287646597015,5918.240378866443,5918.240378866443,5918.240378866443
2015-06-19,5919.0,5919.0,5919.0,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5919.0,5918.9999999818665,5918.020141120135,5891.063852534436,5919.0,5919.0,5919.0,5919.621639576605,5919.621639576605,5919.621639576605,5918.290844004558,5918.290844004558,5918.290844004558
2015-06-22,5919.0,5919.0,5919.0,52.37290612784232,,,0.0,0.0,,5919.0,5919.0,5919.0,5918.999999990933,5918.142623510109,5891.9869899080595,5919.0,5919.0,5919.0,5919.529377675472,5919.529377675472,5919.529377675472,5918.344294448254,5918.344294448254,5918.344294448254
