Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17305.0,16508.203125,16912.32981301646,17326.506847028915,16614.545454545456,16614.545454545456,16614.545454545456,16429.71435435885,16429.71435435885,16429.71435435885,16340.25989627012,16340.25989627012,16340.25989627012
2015-06-04,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17270.0,16504.1015625,16860.788523731375,17298.87044331361,16557.272727272728,16557.272727272728,16557.272727272728,16404.155937762065,16404.155937762065,16404.155937762065,16348.392119732722,16348.392119732722,16348.392119732722
2015-06-05,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17235.0,16502.05078125,16815.689910292418,17272.189605498806,16519.090909090908,16519.090909090908,16519.090909090908,16390.214983254726,16390.214983254726,16390.214983254726,16364.55095336623,16364.55095336623,16364.55095336623
2015-06-08,16500.0,,,0.0,,,-5.982905982905984,-1050.0,,16500.0,16500.0,17200.0,16501.025390625,16776.228634776908,17246.4292301548,16500.0,16500.0,16500.0,16384.51186550172,16384.51186550172,16384.51186550172,16384.51186550172,16384.51186550172,16384.51186550172
2015-06-09,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17165.0,16500.5126953125,16741.70002730919,17221.555638556674,16500.0,16500.0,16500.0,16384.511865501725,16384.511865501725,16384.511865501725,16405.50970813777,16405.50970813777,16405.50970813777
2015-06-10,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17130.0,16500.25634765625,16711.48750236571,17197.536510112943,16500.0,16500.0,16500.0,16388.329655071913,16388.329655071913,16388.329655071913,16425.813407215595,16425.813407215595,16425.813407215595
2015-06-11,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17095.0,16500.128173828125,16685.051548086223,17174.340819457506,16500.0,16500.0,16500.0,16394.576947095862,16394.576947095862,16394.576947095862,16444.413299377815,16444.413299377815,16444.413299377815
2015-06-12,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17060.0,16500.064086914062,16661.920091955057,17151.938776969113,16500.0,16500.0,16500.0,16402.24407821616,16402.24407821616,16402.24407821616,16460.793079498457,16460.793079498457,16460.793079498457
2015-06-15,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,17025.0,16500.03204345703,16641.68007079819,17130.301772499977,16500.0,16500.0,16500.0,16410.60822125649,16410.60822125649,16410.60822125649,16474.765000259,16474.765000259,16474.765000259
2015-06-16,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16990.0,16500.016021728516,16623.970054550577,17109.402322111,16500.0,16500.0,16500.0,16419.162458456824,16419.162458456824,16419.162458456824,16486.352103375822,16486.352103375822,16486.352103375822
2015-06-17,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16955.0,16500.008010864258,16608.473792067787,17089.214017625698,16500.0,16500.0,16500.0,16427.561164071703,16427.561164071703,16427.561164071703,16495.705207356026,16495.705207356026,16495.705207356026
2015-06-18,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16920.0,16500.00400543213,16594.914563722836,17069.711478828394,16500.0,16500.0,16500.0,16435.578110340444,16435.578110340444,16435.578110340444,16503.045398420265,16503.045398420265,16503.045398420265
2015-06-19,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16885.0,16500.002002716064,16583.050239937365,17050.87030814449,16500.0,16500.0,16500.0,16443.07447568265,16443.07447568265,16443.07447568265,16508.625079442023,16508.625079442023,16508.625079442023
2015-06-22,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16850.0,16500.001001358032,16572.668957403235,17032.667047652154,16500.0,16500.0,16500.0,16449.974539236264,16449.974539236264,16449.974539236264,16512.702389723694,16512.702389723694,16512.702389723694
2015-06-23,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16815.0,16500.000500679016,16563.58533578164,17015.07913828509,16500.0,16500.0,16500.0,16456.24732428501,16456.24732428501,16456.24732428501,16515.52514299563,16515.52514299563,16515.52514299563
2015-06-24,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16780.0,16500.000250339508,16555.637167318884,16998.084881095892,16500.0,16500.0,16500.0,16461.892830828878,16461.892830828878,16461.892830828878,16517.32144053231,16517.32144053231,16517.32144053231
2015-06-25,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16745.0,16500.000125169754,16548.682520263203,16981.66340045823,16500.0,16500.0,16500.0,16466.931795347373,16466.931795347373,16466.931795347373,16518.294876859756,16518.294876859756,16518.294876859756
2015-06-26,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16710.0,16500.000062584877,16542.59720435686,16965.79460909454,16500.0,16500.0,16500.0,16471.398150261495,16471.398150261495,16471.398150261495,16518.62282599681,16518.62282599681,16518.62282599681
2015-06-29,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16675.0,16500.00003129244,16537.272553143524,16950.459174823343,16500.0,16500.0,16500.0,16475.333539906107,16475.333539906107,16475.333539906107,16518.456721888437,16518.456721888437,16518.456721888437
2015-06-30,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16640.0,16500.00001564622,16532.613483488592,16935.638488927467,16500.0,16500.0,16500.0,16478.78339446469,16478.78339446469,16478.78339446469,16517.923562547563,16517.923562547563,16517.923562547563
2015-07-01,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16605.0,16500.00000782311,16528.53679766052,16921.31463605093,16500.0,16500.0,16500.0,16481.79417662491,16481.79417662491,16481.79417662491,16517.12810021545,16517.12810021545,16517.12810021545
2015-07-02,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16570.0,16500.000003911555,16524.969697652832,16907.470365538276,16500.0,16500.0,16500.0,16484.41150429829,16484.41150429829,16484.41150429829,16516.155350090863,16516.155350090863,16516.155350090863
2015-07-03,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16535.0,16500.000001955777,16521.848485216444,16894.089064135722,16500.0,16500.0,16500.0,16486.678921854906,16486.678921854906,16486.678921854906,16515.073173529763,16515.073173529763,16515.073173529763
2015-07-06,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16500.0,16500.00000097789,16519.117424388463,16881.154729978713,16500.0,16500.0,16500.0,16488.63714610834,16488.63714610834,16488.63714610834,16513.934780004434,16513.934780004434,16513.934780004434
2015-07-07,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16500.0,16500.000000488944,16516.72774620521,16868.651947795275,16500.0,16500.0,16500.0,16490.323655034743,16490.323655034743,16490.323655034743,16512.78105457977,16512.78105457977,16512.78105457977
2015-07-08,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16500.0,16500.000000244472,16514.636777826436,16856.565865258966,16500.0,16500.0,16500.0,16491.772519521517,16491.772519521517,16491.772519521517,16511.64266105444,16511.64266105444,16511.64266105444
2015-07-09,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16500.0,16500.000000122236,16512.80718051918,16844.882170429442,16500.0,16500.0,16500.0,16493.014403367324,16493.014403367324,16493.014403367324,16510.541900372926,16510.541900372926,16510.541900372926
2015-07-10,16500.0,,,0.0,,,0.0,0.0,,16500.0,16500.0,16500.0,16500.000000061118,16511.20628289383,16833.587070222507,16500.0,16500.0,16500.0,16494.076675913122,16494.076675913122,16494.076675913122,16509.494323297138,16509.494323297138,16509.494323297138
