Date,Price,Min,Max,RSI,K_STOCH,D_STOCH,ROC,MOMENTUM,WILLIAMS,1_moving_avg,7_moving_avg,30_moving_avg,1_exp_moving_avg,7_exp_moving_avg,30_exp_moving_avg,1_wma,7_wma,30_wma,1_dema,7_dema,30_dema,1_tema,7_tema,30_tema
2015-06-03,14999.0,14999.0,14999.0,53.52263669782348,,,0.6644295302013381,99.0,,14999.0,14950.0,14933.766666666666,14992.504712687023,14946.675710729243,14949.129366967605,14952.09090909091,14952.09090909091,14952.09090909091,14978.346053539646,14978.346053539646,14978.346053539646,14996.914744368853,14996.914744368853,14996.914744368853
2015-06-04,14979.0,14979.0,14979.0,52.40023574284568,,,-0.13999999999999568,-21.0,,14979.0,14989.857142857143,14933.166666666666,14985.752356343512,14950.716251800117,14950.128169187676,14961.90909090909,14961.90909090909,14961.90909090909,14981.910145709153,14981.910145709153,14981.910145709153,14996.573593531384,14996.573593531384,14996.573593531384
2015-06-05,14500.0,14500.0,14600.0,34.00670004950729,,,-2.684563758389258,-400.0,,14500.0,14920.0,14916.533333333333,14742.876178171755,14894.376660395257,14935.09469689127,14885.018181818183,14885.018181818183,14885.018181818183,14825.852714989265,14825.852714989265,14825.852714989265,14778.604133209416,14778.604133209416,14778.604133209416
2015-06-08,14500.0,14500.0,14900.0,34.00670004950728,,,-1.3605442176870763,-200.0,,14500.0,14850.142857142857,14909.866666666667,14621.438089085877,14845.079531962076,14920.57986449481,14815.4,14815.4,14815.4,14710.61252698705,14710.61252698705,14710.61252698705,14633.66140971498,14633.66140971498,14633.66140971498
2015-06-09,14500.0,14499.0,14500.0,34.00670004950729,,,-1.3605442176870763,-200.0,,14500.0,14780.57142857143,14898.2,14560.719044542939,14801.944555337059,14906.56469552605,14749.418181818182,14749.418181818182,14749.418181818182,14626.505871316573,14626.505871316573,14626.505871316573,14540.544798763684,14540.544798763684,14540.544798763684
2015-06-10,14873.0,14872.0,14874.0,50.80254867389663,,,-0.7739008606311271,-116.0,,14873.0,14764.285714285714,14900.633333333333,14716.859522271468,14810.826492249309,14905.44739466949,14754.89090909091,14754.89090909091,14754.89090909091,14689.326841609343,14689.326841609343,14689.326841609343,14652.390174682552,14652.390174682552,14652.390174682552
2015-06-11,14875.0,14875.0,14875.0,50.87474461378901,,,-0.760557742344381,-114.0,,14875.0,14746.57142857143,14899.8,14795.929761135734,14818.84818571996,14904.434905233054,14762.836363636363,14762.836363636363,14762.836363636363,14738.113545967004,14738.113545967004,14738.113545967004,14732.78108285109,14732.78108285109,14732.78108285109
2015-06-12,14949.0,14949.0,14949.0,53.58856779515301,,,-0.25355307933542237,-38.0,,14949.0,14739.42857142857,14901.433333333332,14872.464880567866,14835.11717138123,14905.915386790246,14786.309090909092,14786.309090909092,14786.309090909092,14799.760396124877,14799.760396124877,14799.760396124877,14822.531945189154,14822.531945189154,14822.531945189154
2015-06-15,14990.0,,,55.069564773929436,,,0.02001734836858393,3.0,,14990.0,14741.0,14904.433333333332,14931.232440283933,14854.477534201114,14908.706046306255,14817.927272727273,14817.927272727273,14817.927272727273,14859.515381895853,14859.515381895853,14859.515381895853,14901.871125331018,14901.871125331018,14901.871125331018
2015-06-16,14990.0,,,55.069564773929436,,,-0.06000400026668906,-9.0,,14990.0,14811.0,14907.433333333332,14960.616220141967,14871.417849502293,14911.401578869027,14849.49090909091,14849.49090909091,14849.49090909091,14903.830194456727,14903.830194456727,14903.830194456727,14954.15213100246,14954.15213100246,14954.15213100246
