,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"150,00",,,"150,00","0,00",0,0,0
1,11/7/2024,"150,00",,,"150,00","0,00",0,0,0
2,11/6/2024,"150,00",,,"150,00","0,00",0,0,0
3,11/5/2024,"150,00",,,"150,00","0,00",0,0,0
4,11/4/2024,"150,00",,,"150,00","0,00",0,0,0
5,11/1/2024,"150,00",,,"150,00","0,00",0,0,0
6,10/31/2024,"150,00",,,"150,00","0,00",0,0,0
7,10/30/2024,"150,00",,,"150,00","0,00",0,0,0
8,10/29/2024,"150,00",,,"150,00","0,00",0,0,0
9,10/28/2024,"150,00",,,"150,00","0,00",0,0,0
10,10/25/2024,"150,00",,,"150,00","0,00",0,0,0
11,10/24/2024,"150,00",,,"150,00","0,00",0,0,0
12,10/22/2024,"150,00",,,"150,00","0,00",0,0,0
13,10/21/2024,"150,00",,,"150,00","0,00",0,0,0
14,10/18/2024,"150,00",,,"150,00","0,00",0,0,0
15,10/17/2024,"150,00",,,"150,00","0,00",0,0,0
16,10/16/2024,"150,00",,,"150,00","0,00",0,0,0
17,10/15/2024,"150,00",,,"150,00","0,00",0,0,0
18,10/14/2024,"150,00",,,"150,00","0,00",0,0,0
19,10/10/2024,"150,00",,,"150,00","0,00",0,0,0
20,10/9/2024,"150,00",,,"150,00","0,00",0,0,0
21,10/8/2024,"150,00",,,"150,00","0,00",0,0,0
22,10/7/2024,"150,00",,,"150,00","0,00",0,0,0
23,10/4/2024,"150,00",,,"150,00","0,00",0,0,0
24,10/3/2024,"150,00",,,"150,00","0,00",0,0,0
25,10/2/2024,"150,00",,,"150,00","0,00",0,0,0
26,10/1/2024,"150,00",,,"150,00","0,00",0,0,0
27,9/30/2024,"150,00",,,"150,00","0,00",0,0,0
28,9/27/2024,"150,00",,,"150,00","0,00",0,0,0
29,9/26/2024,"150,00",,,"150,00","0,00",0,0,0
30,9/25/2024,"150,00",,,"150,00","0,00",0,0,0
