,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/6/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
1,11/5/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
2,11/4/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
3,11/1/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
4,10/31/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
5,10/30/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
6,10/29/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
7,10/28/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
8,10/25/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
9,10/24/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,133,"787,227","787,227"
10,10/22/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,132,"781,308","781,308"
11,10/21/2024,"5,919.00","5,920.00","5,919.00","5,919.22",0.00,276,"1,633,704","1,633,704"
12,10/18/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,109,"645,171","645,171"
13,10/17/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.04,132,"781,308","781,308"
14,10/16/2024,"5,919.00","5,919.00","5,850.00","5,916.49",-0.04,"3,208","18,980,097","18,980,097"
15,10/15/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
16,10/14/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
17,10/10/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
18,10/9/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
19,10/8/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
20,10/7/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
21,10/4/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
22,10/3/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
23,10/2/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,192,"1,136,448","1,136,448"
24,10/1/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.01,454,"2,687,226","2,687,226"
25,9/30/2024,"5,919.00","5,919.00","5,910.00","5,918.65",0.12,"1,422","8,416,324","8,416,324"
26,9/27/2024,"5,919.00",,,"5,911.35",0.00,0,0,0
27,9/26/2024,"5,919.00",,,"5,911.35",0.00,0,0,0
28,9/25/2024,"5,919.00","5,919.00","5,750.00","5,911.35",2.81,"2,070","12,236,487","12,236,487"
29,9/24/2024,"5,750.00","5,750.00","5,750.00","5,750.00",-2.85,20,"115,000","115,000"
30,9/23/2024,"5,919.00",,,"5,918.95",0.00,0,0,0
31,9/20/2024,"5,919.00","5,919.00","5,918.00","5,918.95",0.90,"4,032","23,865,195","23,865,195"
32,9/19/2024,"5,866.00","5,866.00","5,866.00","5,866.00",9.99,33,"193,578","193,578"
33,9/18/2024,"5,333.00","5,333.00","5,333.00","5,333.00",-9.90,5,"26,665","26,665"
34,9/17/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
35,9/16/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
36,9/13/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
37,9/12/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
38,9/11/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
39,9/10/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
40,9/6/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,144,"852,336","852,336"
41,9/5/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,10,"59,190","59,190"
42,9/4/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,15,"88,785","88,785"
43,9/3/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,111,"657,009","657,009"
44,9/2/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,35,"207,165","207,165"
45,8/30/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,120,"710,280","710,280"
46,8/29/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
47,8/27/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,595,"3,521,805","3,521,805"
48,8/26/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
49,8/23/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
50,8/22/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
51,8/21/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
52,8/20/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
53,8/19/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
54,8/16/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
55,8/15/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
56,8/14/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
57,8/13/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
58,8/12/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
59,8/9/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
60,8/8/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,"1,035","6,126,165","6,126,165"
61,8/7/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
62,8/6/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
63,8/5/2024,"5,919.00",,,"5,919.00",0.00,0,0,0
64,8/1/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,234,"1,385,046","1,385,046"
65,7/31/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,514,"3,042,366","3,042,366"
66,7/30/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,108,"639,252","639,252"
67,7/29/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.00,30,"177,570","177,570"
68,7/26/2024,"5,919.00","5,919.00","5,919.00","5,919.00",0.01,274,"1,621,806","1,621,806"
69,7/25/2024,"5,919.00","5,919.00","5,900.00","5,918.69",1.13,"14,572","86,247,158","86,247,158"
70,7/24/2024,"5,860.00","5,860.00","5,169.00","5,852.37",9.84,"5,020","29,378,885","29,378,885"
71,7/23/2024,"5,328.00","5,328.00","5,328.00","5,328.00",-9.98,20,"106,560","106,560"
72,7/22/2024,"5,879.00",,,"5,918.99",0.00,0,0,0
73,7/19/2024,"5,879.00","5,919.00","5,879.00","5,918.99",0.61,"82,779","489,968,101","489,968,101"
74,7/18/2024,"5,883.00","5,883.00","5,883.00","5,883.00",9.99,"1,651","9,712,833","9,712,833"
75,7/17/2024,"5,390.00","5,390.00","4,899.00","5,348.65",9.16,475,"2,540,610","2,540,610"
