,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/6/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
1,11/5/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
2,11/4/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
3,11/1/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
4,10/31/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
5,10/30/2024,"12,360.00",,,"12,360.00",0.00,0,0,"3,300,000"
6,10/29/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
7,10/28/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
8,10/25/2024,"12,360.00",,,"12,360.00",0.00,0,0,0
9,1/2/2020,"12,360.00",,,"12,360.00",0.00,0,0,0
10,12/30/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
11,12/27/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
12,12/26/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
13,12/25/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
14,12/24/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
15,12/23/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
16,12/20/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
17,12/19/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
18,12/18/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
19,12/17/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
20,12/16/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
21,12/13/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
22,12/12/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
23,12/11/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
24,12/10/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
25,12/6/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
26,12/5/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
27,12/4/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
28,12/3/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
29,12/2/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
30,11/29/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
31,11/28/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
32,11/27/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
33,11/26/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
34,11/25/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
35,11/22/2019,"12,360.00",,,"12,360.00",0.00,0,0,0
