,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
1,11/7/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
2,11/6/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
3,11/5/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
4,11/4/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
5,11/1/2024,"3.300,00",,,"3.300,00","0,00",0,0,0
6,10/31/2024,"3.300,00","3.300,00","3.300,00","3.300,00","1,51",836,2.758.800,2.758.800
7,10/30/2024,"3.300,00",,,"3.251,03","0,00",0,0,0
8,10/29/2024,"3.300,00",,,"3.251,03","0,00",0,0,0
9,10/28/2024,"3.300,00","3.300,00","3.250,00","3.251,03","1,59",242,786.750,41.300.850
10,10/25/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
11,10/24/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",150,480.000,480.000
12,10/22/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",90,288.000,288.000
13,10/21/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
14,10/18/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",111,355.200,355.200
15,10/17/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
16,10/16/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",504,1.612.800,1.612.800
17,10/15/2024,"3.200,00",,,"3.200,00","0,00",0,0,48.136.760
18,10/14/2024,"3.200,00","3.200,00","3.200,00","3.200,00","-1,52",540,1.728.000,1.728.000
19,10/10/2024,"3.250,00","3.250,00","3.220,00","3.249,45","1,52",219,711.630,29.895.930
20,10/9/2024,"3.201,00","3.201,00","3.200,00","3.200,78","0,02",654,2.093.308,2.093.308
21,10/8/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",156,499.200,499.200
22,10/7/2024,"3.199,00","3.200,00","3.199,00","3.199,87","0,00","1,145",3.663.847,3.663.847
23,10/4/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","9,408",30.105.600,30.105.600
24,10/3/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
25,10/2/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",352,1.126.400,1.126.400
26,10/1/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",100,320.000,320.000
27,9/30/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
28,9/27/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
29,9/26/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
30,9/25/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
31,9/24/2024,"3.220,00",,,"3.200,05","0,00",0,0,0
32,9/23/2024,"3.220,00","3.220,00","3.200,00","3.200,05","-0,93",432,1.382.420,1.382.420
33,9/20/2024,"3.230,00","3.230,00","3.230,00","3.230,00","-0,57",70,226.100,226.100
34,9/19/2024,"3.250,00","3.250,00","3.200,00","3.248,61","1,49","3,614",11.740.480,16.862.480
35,9/18/2024,"3.201,00","3.201,00","3.200,00","3.200,83","0,03",90,288.075,288.075
36,9/17/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00",15,48.000,48.000
37,9/16/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,00","1,167",3.734.400,9.294.752
38,9/13/2024,"3.200,00","3.201,00","3.200,00","3.200,05","0,00","1,344",4.300.862,4.300.862
39,9/12/2024,"3.200,00","3.200,00","3.199,00","3.199,97","6,12","3,839",12.284.683,12.284.683
40,9/11/2024,"3.015,00","3.016,00","3.015,00","3.015,55","0,02",40,120.622,120.622
41,9/10/2024,"3.015,00","3.015,00","3.015,00","3.015,00","-7,55",17,51.255,51.255
42,9/6/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
43,9/5/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
44,9/4/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
45,9/3/2024,"3.250,00",,,"3.261,05","0,00",0,0,3.200.000
46,9/2/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
47,8/30/2024,"3.250,00",,,"3.261,05","0,00",0,0,0
48,8/29/2024,"3.250,00","3.270,00","3.250,00","3.261,05","0,52",324,1.056.580,1.056.580
49,8/27/2024,"3.275,00","3.298,00","3.199,00","3.244,20","1,30","3,016",9.784.516,9.784.516
50,8/26/2024,"3.210,00",,,"3.202,64","0,00",0,0,0
51,8/23/2024,"3.210,00","3.210,00","3.150,00","3.202,64","0,08","1,849",5.921.677,5.921.677
52,8/22/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
53,8/21/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
54,8/20/2024,"3.200,00",,,"3.200,00","0,00",0,0,0
55,8/19/2024,"3.200,00","3.200,00","3.200,00","3.200,00","0,31",51,163.200,163.200
56,8/16/2024,"3.190,00","3.190,00","3.190,00","3.190,00","-4,77",30,95.700,95.700
57,8/15/2024,"3.341,00",,,"3.349,73","0,00",0,0,0
58,8/14/2024,"3.341,00","3.350,00","3.341,00","3.349,73","-9,76",134,448.864,448.864
59,8/13/2024,"3.700,00",,,"3.712,20","0,00",0,0,0
60,8/12/2024,"3.700,00",,,"3.712,20","0,00",0,0,0
61,8/9/2024,"3.700,00",,,"3.712,20","0,00",0,0,0
62,8/8/2024,"3.700,00","4.000,00","3.699,00","3.712,20","0,35",660,2.450.052,2.450.052
63,8/7/2024,"3.700,00","3.700,00","3.697,00","3.699,12","9,02",89,329.222,329.222
64,8/6/2024,"3.393,00","3.393,00","3.393,00","3.393,00","1,28",65,220.545,220.545
65,8/5/2024,"3.350,00","3.350,00","3.350,00","3.350,00","1,69",4,13.400,13.400
66,8/1/2024,"3.300,00","3.300,00","3.290,00","3.294,26","6,94",47,154.830,154.830
67,7/31/2024,"3.010,00","3.100,00","3.010,00","3.080,43","-0,63",128,394.295,394.295
68,7/30/2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",10,31.000,31.000
69,7/29/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
70,7/26/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
71,7/25/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
72,7/24/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
73,7/23/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
74,7/22/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
75,7/19/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
76,7/18/2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",5,15.500,15.500
77,7/17/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
78,7/16/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
79,7/15/2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",117,362.700,362.700
80,7/12/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
81,7/11/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
82,7/10/2024,"3.100,00","3.100,00","3.100,00","3.100,00","-0,03",35,108.500,108.500
83,7/9/2024,"3.101,00",,,"3.101,00","0,00",0,0,0
84,7/8/2024,"3.101,00",,,"3.101,00","0,00",0,0,0
85,7/5/2024,"3.101,00",,,"3.101,00","0,00",0,0,0
86,7/4/2024,"3.101,00","3.101,00","3.101,00","3.101,00","3,37",9,27.909,27.909
87,7/3/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
88,7/2/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
89,7/1/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
90,6/28/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
91,6/27/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
92,6/26/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
93,6/25/2024,"3.000,00","3.000,00","3.000,00","3.000,00","-8,54",46,138.000,138.000
94,6/24/2024,"3.280,00",,,"3.280,00","0,00",0,0,0
95,6/20/2024,"3.280,00","3.280,00","3.280,00","3.280,00","0,00",35,114.800,114.800
96,6/19/2024,"3.280,00","3.280,00","3.280,00","3.280,00","1,11",25,82.000,82.000
97,6/18/2024,"3.244,00","3.244,00","3.244,00","3.244,00","2,98","1,292",4.191.248,4.191.248
98,6/17/2024,"3.150,00",,,"3.150,00","0,00",0,0,0
99,6/14/2024,"3.150,00",,,"3.150,00","0,00",0,0,0
100,6/13/2024,"3.150,00","3.150,00","3.150,00","3.150,00","0,20",44,138.600,138.600
101,6/12/2024,"3.150,00","3.193,00","3.100,00","3.143,67","1,41",45,141.465,141.465
102,6/11/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
103,6/10/2024,"3.100,00",,,"3.100,00","0,00",0,0,0
104,6/7/2024,"3.100,00","3.100,00","3.100,00","3.100,00","0,00",10,31.000,31.000
105,6/6/2024,"3.100,00","3.100,00","3.100,00","3.100,00","1,64",100,310.000,310.000
106,6/5/2024,"3.050,00",,,"3.050,00","0,00",0,0,0
107,6/4/2024,"3.050,00","3.050,00","3.050,00","3.050,00","1,67",50,152.500,152.500
108,6/3/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
109,5/31/2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",25,75.000,75.000
110,5/30/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
111,5/29/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
112,5/28/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
113,5/27/2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",50,150.000,150.000
114,5/23/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
115,5/22/2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,00",55,165.000,165.000
116,5/21/2024,"3.000,00","3.000,00","2.999,00","2.999,91","0,00",114,341.990,341.990
117,5/20/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
118,5/17/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
119,5/16/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
120,5/15/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
121,5/14/2024,"3.000,00",,,"3.000,00","0,00",0,0,0
122,5/13/2024,"3.000,00","3.000,00","3.000,00","3.000,00","0,44",50,150.000,150.000
123,5/10/2024,"2.987,00",,,"2.987,00","0,00",0,0,0
124,5/9/2024,"2.987,00",,,"2.987,00","0,00",0,0,0
125,5/7/2024,"2.987,00",,,"2.987,00","0,00",0,0,0
126,5/2/2024,"2.987,00",,,"2.987,00","0,00",0,0,0
127,4/30/2024,"2.987,00",,,"2.987,00","0,00",0,0,0
128,4/29/2024,"2.987,00",,,"2.987,00","0,00",0,0,0
129,4/26/2024,"2.987,00","2.987,00","2.987,00","2.987,00","3,00",9,26.883,26.883
130,4/25/2024,"2.900,00",,,"2.900,00","0,00",0,0,0
131,4/23/2024,"2.900,00",,,"2.900,00","0,00",0,0,0
132,4/22/2024,"2.900,00",,,"2.900,00","0,00",0,0,0
133,4/19/2024,"2.900,00",,,"2.900,00","0,00",0,0,0
134,4/18/2024,"2.900,00",,,"2.900,00","0,00",0,0,0
135,4/17/2024,"2.900,00","2.900,00","2.900,00","2.900,00","5,26",33,95.700,95.700
136,4/16/2024,"2.811,00",,,"2.755,21","0,00",0,0,0
137,4/15/2024,"2.811,00","2.811,00","2.730,00","2.755,21","0,92",33,90.922,90.922
138,4/12/2024,"2.730,00","2.730,00","2.730,00","2.730,00","1,11",10,27.300,27.300
139,4/11/2024,"2.700,00",,,"2.700,00","0,00",0,0,0
140,4/9/2024,"2.700,00",,,"2.700,00","0,00",0,0,0
141,4/8/2024,"2.700,00","2.700,00","2.700,00","2.700,00","0,04",70,189.000,4.541.400
142,4/5/2024,"2.700,00",,,"2.698,84","0,00",0,0,0
143,4/4/2024,"2.700,00","2.700,00","2.651,00","2.698,84","7,78",212,572.155,34.214.155
144,4/3/2024,"2.504,00","2.504,00","2.504,00","2.504,00","-6,34",6,15.024,15.024
145,4/2/2024,"2.700,00","2.700,00","2.649,00","2.673,42","1,00",76,203.180,203.180
146,4/1/2024,"2.647,00",,,"2.647,00","0,00",0,0,0
147,3/29/2024,"2.647,00",,,"2.647,00","0,00",0,0,0
148,3/28/2024,"2.647,00",,,"2.647,00","0,00",0,0,0
