,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"1.964,00","1.964,00","1.964,00","1.964,00","-0,27",155,304.420,304.420
1,11/7/2024,"1.967,00","1.975,00","1.967,00","1.969,28","-0,28",642,1.264.276,1.264.276
2,11/6/2024,"1.975,00","1.990,00","1.970,00","1.974,75","0,29",295,582.550,582.550
3,11/5/2024,"1.969,00","1.969,00","1.969,00","1.969,00","-1,40",25,49.225,49.225
4,11/4/2024,"1.997,00","1.997,00","1.997,00","1.997,00","0,00",27,53.919,53.919
5,11/1/2024,"1.997,00","1.997,00","1.997,00","1.997,00","2,02",138,275.586,275.586
6,10/31/2024,"1.960,00","1.960,00","1.950,00","1.957,51","0,99","1,065",2.084.750,2.084.750
7,10/30/2024,"1.938,00","1.949,00","1.920,00","1.938,29","0,95",434,841.220,841.220
8,10/29/2024,"1.920,00",,,"1.920,00","0,00",0,0,0
9,10/28/2024,"1.920,00","1.920,00","1.920,00","1.920,00","0,35",115,220.800,220.800
10,10/25/2024,"1.900,00","1.919,00","1.900,00","1.913,26","-0,35",43,82.270,82.270
11,10/24/2024,"1.920,00",,,"1.920,00","0,00",0,0,0
12,10/22/2024,"1.920,00","1.920,00","1.920,00","1.920,00","0,00",300,576.000,576.000
13,10/21/2024,"1.920,00","1.920,00","1.920,00","1.920,00","-1,44",65,124.800,124.800
14,10/18/2024,"1.948,00","1.948,00","1.948,00","1.948,00","1,10",5,9.740,9.740
15,10/17/2024,"1.920,00",,,"1.926,71","0,00",0,0,0
16,10/16/2024,"1.920,00","1.950,00","1.899,00","1.926,71","-1,19",112,215.792,215.792
17,10/15/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,00",560,1.092.000,1.092.000
18,10/14/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
19,10/10/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
20,10/9/2024,"1.950,00","1.950,00","1.950,00","1.950,00","-0,46",95,185.250,185.250
21,10/8/2024,"1.959,00","1.959,00","1.959,00","1.959,00","1,09",10,19.590,19.590
22,10/7/2024,"1.939,00","1.939,00","1.935,00","1.937,92","-1,09",425,823.615,823.615
23,10/4/2024,"1.959,00","1.965,00","1.959,00","1.959,34","1,04",318,623.070,623.070
24,10/3/2024,"1.940,00",,,"1.939,13","0,00",0,0,0
25,10/2/2024,"1.940,00","1.940,00","1.939,00","1.939,13","-0,99",265,513.870,513.870
26,10/1/2024,"1.939,00",,,"1.958,53","0,00",0,0,0
27,9/30/2024,"1.939,00","1.964,00","1.939,00","1.958,53","2,52",320,626.730,626.730
28,9/27/2024,"1.910,00","1.911,00","1.910,00","1.910,33","-2,69",150,286.550,286.550
29,9/26/2024,"1.964,00","1.964,00","1.963,00","1.963,15","2,95",59,115.826,115.826
30,9/25/2024,"1.791,00","1.930,00","1.791,00","1.906,83","-4,13",60,114.410,114.410
31,9/24/2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,00",2,3.978,3.978
32,9/23/2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,00",1,1.989,1.989
33,9/20/2024,"1.989,00",,,"1.989,00","0,00",0,0,0
34,9/19/2024,"1.989,00",,,"1.989,00","0,00",0,0,0
35,9/18/2024,"1.989,00","1.989,00","1.989,00","1.989,00","0,58",30,59.670,59.670
36,9/17/2024,"1.984,00","1.984,00","1.970,00","1.977,46","-0,58",417,824.602,824.602
