,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/6/2024,132.00,133.00,132.00,132.66,-1.73,623,"82,646","82,646"
1,11/5/2024,135.00,,,135.00,0.00,0,0,0
2,11/4/2024,135.00,,,135.00,0.00,0,0,0
3,11/1/2024,135.00,135.00,135.00,135.00,0.00,850,"114,750","114,750"
4,10/31/2024,135.00,,,135.00,0.00,0,0,0
5,10/30/2024,135.00,,,135.00,0.00,0,0,0
6,10/29/2024,135.00,135.00,135.00,135.00,0.00,927,"125,145","125,145"
7,10/28/2024,135.00,,,135.00,0.00,0,0,0
8,10/25/2024,135.00,135.00,135.00,135.00,0.00,"2,513","339,255","339,255"
9,10/24/2024,135.00,135.00,135.00,135.00,1.50,950,"128,250","128,250"
10,10/22/2024,133.00,133.00,133.00,133.00,-1.48,90,"11,970","11,970"
11,10/21/2024,135.00,,,135.00,0.00,0,0,0
12,10/18/2024,135.00,,,135.00,0.00,0,0,0
13,10/17/2024,135.00,135.00,135.00,135.00,-0.47,"1,000","135,000","135,000"
14,10/16/2024,135.00,,,135.64,0.00,0,0,0
15,10/15/2024,135.00,,,135.64,0.00,0,0,0
16,10/14/2024,135.00,,,135.64,0.00,0,0,0
17,10/10/2024,135.00,,,135.64,0.00,0,0,0
18,10/9/2024,135.00,136.00,135.00,135.64,-0.26,700,"94,950","94,950"
19,10/8/2024,136.00,,,136.00,0.00,0,0,0
20,10/7/2024,136.00,136.00,136.00,136.00,0.00,250,"34,000","34,000"
21,10/4/2024,136.00,,,136.00,0.00,0,0,0
22,10/3/2024,136.00,136.00,136.00,136.00,-1.90,100,"13,600","13,600"
23,10/2/2024,140.00,140.00,137.00,138.63,-0.98,"1,835","254,395","254,395"
24,10/1/2024,140.00,140.00,140.00,140.00,3.70,300,"42,000","42,000"
25,9/30/2024,135.00,,,135.00,0.00,0,0,0
26,9/27/2024,135.00,,,135.00,0.00,0,0,0
27,9/26/2024,135.00,,,135.00,0.00,0,0,0
28,9/25/2024,135.00,135.00,135.00,135.00,2.27,"1,740","234,900","234,900"
29,9/24/2024,132.00,132.00,132.00,132.00,0.00,120,"15,840","15,840"
30,9/23/2024,132.00,,,132.00,0.00,0,0,0
31,9/20/2024,132.00,,,132.00,0.00,0,0,0
32,9/19/2024,132.00,132.00,132.00,132.00,-1.49,209,"27,588","27,588"
33,9/18/2024,134.00,134.00,134.00,134.00,-2.88,190,"25,460","25,460"
34,9/17/2024,139.00,,,137.98,0.00,0,0,0
35,9/16/2024,139.00,,,137.98,0.00,0,0,0
36,9/13/2024,139.00,139.00,136.00,137.98,2.21,440,"60,710","60,710"
37,9/12/2024,135.00,,,135.00,0.00,0,0,0
