,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/8/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,26",175,341.250,341.250
1,11/7/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
2,11/6/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
3,11/5/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
4,11/4/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
5,11/1/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
6,10/31/2024,"1.945,00",,,"1.945,00","0,00",0,0,0
7,10/30/2024,"1.945,00","1.945,00","1.945,00","1.945,00","-0,05",125,243.125,243.125
8,10/29/2024,"1.946,00","1.946,00","1.946,00","1.946,00","0,00",91,177.086,177.086
9,10/28/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",110,214.060,214.060
10,10/25/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
11,10/24/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
12,10/22/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
13,10/21/2024,"2.006,00",,,"2.006,00","0,00",0,0,0
14,10/18/2024,"2.006,00","2.006,00","2.006,00","2.006,00","0,00",3,6.018,6.018
15,10/17/2024,"2.006,00","2.006,00","2.006,00","2.006,00","3,53",6,12.036,12.036
16,10/16/2024,"1.900,00","1.946,00","1.900,00","1.937,64","-0,43",11,21.314,21.314
17,10/15/2024,"1.946,00","1.946,00","1.946,00","1.946,00","-2,99",300,583.800,583.800
18,10/14/2024,"2.006,00","2.006,00","2.006,00","2.006,00","8,43",10,20.060,20.060
19,10/10/2024,"1.850,00","1.850,00","1.850,00","1.850,00","-7,41",165,305.250,305.250
20,10/9/2024,"1.998,00","1.998,00","1.998,00","1.998,00","0,00",10,19.980,19.980
21,10/8/2024,"1.998,00","1.998,00","1.998,00","1.998,00","2,46",14,27.972,27.972
22,10/7/2024,"1.950,00",,,"1.950,00","0,00",0,0,0
23,10/4/2024,"1.950,00","1.950,00","1.950,00","1.950,00","0,10",16,31.200,31.200
24,10/3/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
25,10/2/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
26,10/1/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
27,9/30/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
28,9/27/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
29,9/26/2024,"1.920,00",,,"1.947,97","0,00",0,0,0
30,9/25/2024,"1.920,00","1.972,00","1.920,00","1.947,97","-1,22",760,1.480.460,1.480.460
31,9/24/2024,"1.972,00","1.972,00","1.972,00","1.972,00","6,71",20,39.440,39.440
32,9/23/2024,"1.848,00","1.848,00","1.848,00","1.848,00","2,98",57,105.336,105.336
33,9/20/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
34,9/19/2024,"1.800,00",,,"1.794,52","0,00",0,0,0
35,9/18/2024,"1.800,00","1.800,00","1.790,00","1.794,52","3,31",73,131.000,131.000
36,9/17/2024,"1.790,00","1.790,00","1.721,00","1.737,05","-0,46",43,74.693,74.693
37,9/16/2024,"1.741,00",,,"1.745,10","0,00",0,0,0
38,9/13/2024,"1.741,00","1.780,00","1.731,00","1.745,10","1,46","1,423",2.483.271,2.483.271
39,9/12/2024,"1.720,00","1.720,00","1.720,00","1.720,00","0,00",25,43.000,43.000
40,9/11/2024,"1.720,00",,,"1.720,00","0,00",0,0,0
41,9/10/2024,"1.720,00","1.720,00","1.720,00","1.720,00","-1,21",221,380.120,380.120
42,9/6/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
43,9/5/2024,"1.741,00","1.741,00","1.741,00","1.741,00","0,00",10,17.410,17.410
44,9/4/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
45,9/3/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
46,9/2/2024,"1.741,00",,,"1.741,00","0,00",0,0,0
47,8/30/2024,"1.741,00","1.741,00","1.741,00","1.741,00","-2,19",206,358.646,358.646
48,8/29/2024,"1.780,00","1.780,00","1.780,00","1.780,00","0,32",100,178.000,178.000
49,8/27/2024,"1.760,00","1.781,00","1.760,00","1.774,32","2,56",88,156.140,156.140
50,8/26/2024,"1.730,00",,,"1.730,00","0,00",0,0,0
51,8/23/2024,"1.730,00","1.730,00","1.730,00","1.730,00","0,11",154,266.420,266.420
52,8/22/2024,"1.739,00","1.739,00","1.691,00","1.728,13","2,20",53,91.591,91.591
53,8/21/2024,"1.691,00","1.691,00","1.691,00","1.691,00","0,00",349,590.159,590.159
54,8/20/2024,"1.691,00","1.691,00","1.691,00","1.691,00","5,42",11,18.601,18.601
55,8/19/2024,"1.604,00",,,"1.604,00","0,00",0,0,0
56,8/16/2024,"1.604,00","1.604,00","1.604,00","1.604,00","0,25",31,49.724,49.724
57,8/15/2024,"1.600,00",,,"1.600,00","0,00",0,0,0
58,8/14/2024,"1.600,00","1.600,00","1.600,00","1.600,00","-2,56",500,800.000,800.000
59,8/13/2024,"1.642,00","1.642,00","1.642,00","1.642,00","-2,96",21,34.482,34.482
60,8/12/2024,"1.692,00","1.692,00","1.692,00","1.692,00","-2,98",14,23.688,23.688
61,8/9/2024,"1.744,00","1.744,00","1.744,00","1.744,00","-0,11",6,10.464,10.464
62,8/8/2024,"1.746,00",,,"1.746,00","0,00",0,0,2.390.274
63,8/7/2024,"1.746,00","1.746,00","1.746,00","1.746,00","-3,00",40,69.840,69.840
64,8/6/2024,"1.800,00",,,"1.800,00","0,00",0,0,0
65,8/5/2024,"1.800,00",,,"1.800,00","0,00",0,0,0
66,8/1/2024,"1.800,00","1.800,00","1.800,00","1.800,00","-1,80",20,36.000,36.000
67,7/31/2024,"1.833,00","1.833,00","1.833,00","1.833,00","-2,96",110,201.630,201.630
68,7/30/2024,"1.889,00","1.889,00","1.889,00","1.889,00","8,45",10,18.890,18.890
69,7/29/2024,"1.749,00","1.749,00","1.640,00","1.741,88","6,21",153,266.507,266.507
70,7/26/2024,"1.640,00","1.640,00","1.640,00","1.640,00","2,50",10,16.400,16.400
71,7/25/2024,"1.600,00","1.600,00","1.600,00","1.600,00","1,24",75,120.000,120.000
72,7/24/2024,"1.590,00","1.590,00","1.580,00","1.580,38","-1,23",104,164.360,164.360
73,7/23/2024,"1.600,00","1.600,00","1.600,00","1.600,00","0,02",59,94.400,94.400
74,7/22/2024,"1.600,00","1.600,00","1.599,00","1.599,75","-0,01",200,319.950,319.950
