,Date,Last trade price,Max,Min,AvgPrice,%chg.,Volume,TurnoverBEST_MKD,TotalTurnoverMKD
0,11/6/2024,,,,,,0,0,0
1,11/5/2024,,,,,,0,0,0
2,11/4/2024,,,,,,0,0,0
3,11/1/2024,,,,,,0,0,0
4,10/31/2024,,,,,,0,0,0
5,10/30/2024,,,,,,0,0,0
6,10/29/2024,,,,,,0,0,0
7,10/28/2024,,,,,,0,0,0
8,10/25/2024,,,,,,0,0,0
9,10/24/2024,,,,,,0,0,0
10,10/22/2024,,,,,,0,0,0
11,10/21/2024,,,,,,0,0,0
12,10/18/2024,,,,,,0,0,0
13,10/17/2024,,,,,,0,0,0
14,10/16/2024,,,,,,0,0,0
15,10/15/2024,,,,,,0,0,0
16,10/14/2024,,,,,,0,0,0
17,10/10/2024,,,,,,0,0,0
18,10/9/2024,,,,,,0,0,0
19,10/8/2024,,,,,,0,0,0
20,10/7/2024,,,,,,0,0,0
21,10/4/2024,,,,,,0,0,0
22,10/3/2024,,,,,,0,0,0
23,10/2/2024,,,,,,0,0,0
24,10/1/2024,,,,,,0,0,0
25,9/30/2024,,,,,,0,0,0
26,9/27/2024,,,,,,0,0,0
27,9/26/2024,,,,,,0,0,0
28,9/25/2024,,,,,,0,0,0
29,9/24/2024,,,,,,0,0,0
30,9/23/2024,,,,,,0,0,0
31,9/20/2024,,,,,,0,0,0
32,9/19/2024,,,,,,0,0,0
33,9/18/2024,,,,,,0,0,0
34,9/17/2024,,,,,,0,0,0
35,9/16/2024,,,,,,0,0,0
36,9/13/2024,,,,,,0,0,0
37,9/12/2024,,,,,,0,0,0
38,9/11/2024,,,,,,0,0,0
39,9/10/2024,,,,,,0,0,0
40,9/6/2024,,,,,,0,0,0
41,9/5/2024,,,,,,0,0,0
42,9/4/2024,,,,,,0,0,0
43,9/3/2024,,,,,,0,0,0
44,9/2/2024,,,,,,0,0,0
45,8/30/2024,,,,,,0,0,0
46,8/29/2024,,,,,,0,0,0
47,8/27/2024,,,,,,0,0,0
48,8/26/2024,,,,,,0,0,0
49,8/23/2024,,,,,,0,0,0
50,8/22/2024,,,,,,0,0,0
51,8/21/2024,,,,,,0,0,0
52,8/20/2024,,,,,,0,0,0
53,8/19/2024,,,,,,0,0,0
54,8/16/2024,,,,,,0,0,0
55,8/15/2024,,,,,,0,0,0
56,8/14/2024,,,,,,0,0,0
57,8/13/2024,,,,,,0,0,0
58,8/12/2024,,,,,,0,0,0
59,8/9/2024,,,,,,0,0,0
60,8/8/2024,,,,,,0,0,0
61,8/7/2024,,,,,,0,0,0
62,8/6/2024,,,,,,0,0,0
63,8/5/2024,,,,,,0,0,0
64,8/1/2024,,,,,,0,0,0
65,7/31/2024,,,,,,0,0,0
66,7/30/2024,,,,,,0,0,0
67,7/29/2024,,,,,,0,0,0
68,7/26/2024,,,,,,0,0,0
69,7/25/2024,,,,,,0,0,0
70,7/24/2024,,,,,,0,0,0
71,7/23/2024,,,,,,0,0,0
72,7/22/2024,,,,,,0,0,0
73,7/19/2024,,,,,,0,0,0
74,7/18/2024,,,,,,0,0,0
75,7/17/2024,,,,,,0,0,0
76,7/16/2024,,,,,,0,0,0
77,7/15/2024,,,,,,0,0,0
78,7/12/2024,,,,,,0,0,0
79,7/11/2024,,,,,,0,0,0
80,7/10/2024,,,,,,0,0,0
81,7/9/2024,,,,,,0,0,0
82,7/8/2024,,,,,,0,0,0
83,7/5/2024,,,,,,0,0,0
84,7/4/2024,,,,,,0,0,0
85,7/3/2024,,,,,,0,0,0
86,7/2/2024,,,,,,0,0,0
87,7/1/2024,,,,,,0,0,0
88,6/28/2024,,,,,,0,0,0
89,6/27/2024,,,,,,0,0,0
90,6/26/2024,,,,,,0,0,0
91,6/25/2024,,,,,,0,0,0
92,6/24/2024,,,,,,0,0,0
93,6/20/2024,,,,,,0,0,0
94,6/19/2024,,,,,,0,0,0
95,6/18/2024,,,,,,0,0,0
96,6/17/2024,,,,,,0,0,0
97,6/14/2024,,,,,,0,0,0
98,6/13/2024,,,,,,0,0,0
99,6/12/2024,,,,,,0,0,0
100,6/11/2024,,,,,,0,0,0
101,6/10/2024,,,,,,0,0,0
102,6/7/2024,,,,,,0,0,0
103,6/6/2024,,,,,,0,0,0
104,6/5/2024,,,,,,0,0,0
105,6/4/2024,,,,,,0,0,0
106,6/3/2024,,,,,,0,0,0
107,5/31/2024,,,,,,0,0,0
108,5/30/2024,,,,,,0,0,0
109,5/29/2024,,,,,,0,0,0
110,5/28/2024,,,,,,0,0,0
111,5/27/2024,,,,,,0,0,0
112,5/23/2024,,,,,,0,0,0
113,5/22/2024,,,,,,0,0,0
114,5/21/2024,,,,,,0,0,0
115,5/20/2024,,,,,,0,0,0
116,5/17/2024,,,,,,0,0,0
117,5/16/2024,,,,,,0,0,0
118,5/15/2024,,,,,,0,0,0
119,5/14/2024,,,,,,0,0,0
120,5/13/2024,,,,,,0,0,0
121,5/10/2024,,,,,,0,0,0
122,5/9/2024,,,,,,0,0,0
123,5/7/2024,,,,,,0,0,0
124,5/2/2024,,,,,,0,0,0
125,4/30/2024,,,,,,0,0,0
126,4/29/2024,,,,,,0,0,0
127,4/26/2024,,,,,,0,0,0
128,4/25/2024,,,,,,0,0,0
129,4/23/2024,,,,,,0,0,0
130,4/22/2024,,,,,,0,0,0
131,4/19/2024,,,,,,0,0,0
132,4/18/2024,,,,,,0,0,0
133,4/17/2024,,,,,,0,0,0
134,4/16/2024,,,,,,0,0,0
135,4/15/2024,,,,,,0,0,0
136,4/12/2024,,,,,,0,0,0
137,4/11/2024,,,,,,0,0,0
138,4/9/2024,,,,,,0,0,0
139,4/8/2024,,,,,,0,0,0
140,4/5/2024,,,,,,0,0,0
141,4/4/2024,,,,,,0,0,0
142,4/3/2024,,,,,,0,0,0
143,4/2/2024,,,,,,0,0,0
144,4/1/2024,,,,,,0,0,0
145,3/29/2024,,,,,,0,0,0
146,3/28/2024,,,,,,0,0,0
147,3/27/2024,,,,,,0,0,0
148,3/26/2024,,,,,,0,0,0
149,3/25/2024,,,,,,0,0,0
150,3/22/2024,,,,,,0,0,0
151,3/21/2024,,,,,,0,0,0
152,3/20/2024,,,,,,0,0,0
153,3/19/2024,,,,,,0,0,0
154,3/18/2024,,,,,,0,0,0
155,3/15/2024,,,,,,0,0,0
156,3/14/2024,,,,,,0,0,0
157,3/13/2024,,,,,,0,0,0
158,3/12/2024,,,,,,0,0,0
159,3/11/2024,,,,,,0,0,0
160,3/8/2024,,,,,,0,0,0
161,3/7/2024,,,,,,0,0,0
162,3/6/2024,,,,,,0,0,0
163,3/5/2024,,,,,,0,0,0
164,3/4/2024,,,,,,0,0,0
165,3/1/2024,,,,,,0,0,0
166,2/29/2024,,,,,,0,0,0
167,2/28/2024,,,,,,0,0,0
168,2/27/2024,,,,,,0,0,0
169,2/26/2024,,,,,,0,0,0
170,2/23/2024,,,,,,0,0,0
171,2/22/2024,,,,,,0,0,0
172,2/21/2024,,,,,,0,0,0
173,2/20/2024,,,,,,0,0,0
174,2/19/2024,,,,,,0,0,0
175,2/16/2024,,,,,,0,0,0
176,2/15/2024,,,,,,0,0,0
177,2/14/2024,,,,,,0,0,0
178,2/13/2024,,,,,,0,0,0
179,2/12/2024,,,,,,0,0,0
180,2/9/2024,,,,,,0,0,0
181,2/8/2024,,,,,,0,0,0
182,2/7/2024,,,,,,0,0,0
183,2/6/2024,,,,,,0,0,0
184,2/5/2024,,,,,,0,0,0
185,2/2/2024,,,,,,0,0,0
186,12/29/2022,,,,,,0,0,0
187,12/28/2022,,,,,,0,0,0
188,12/27/2022,,,,,,0,0,0
189,12/26/2022,,,,,,0,0,0
190,12/23/2022,,,,,,0,0,0
191,12/22/2022,,,,,,0,0,0
192,12/21/2022,,,,,,0,0,0
193,12/20/2022,,,,,,0,0,0
194,12/19/2022,,,,,,0,0,0
195,12/16/2022,,,,,,0,0,0
196,12/15/2022,,,,,,0,0,0
197,12/14/2022,,,,,,0,0,0
198,12/13/2022,,,,,,0,0,0
199,12/12/2022,,,,,,0,0,0
200,12/9/2022,,,,,,0,0,0
201,12/7/2022,,,,,,0,0,0
202,12/6/2022,,,,,,0,0,0
203,12/5/2022,,,,,,0,0,0
204,12/2/2022,,,,,,0,0,0
205,12/1/2022,,,,,,0,0,0
206,11/30/2022,,,,,,0,0,0
207,11/29/2022,,,,,,0,0,0
208,11/28/2022,,,,,,0,0,0
209,11/25/2022,,,,,,0,0,0
210,11/24/2022,,,,,,0,0,0
211,11/23/2022,,,,,,0,0,0
212,11/22/2022,,,,,,0,0,0
213,11/21/2022,,,,,,0,0,0
214,11/18/2022,,,,,,0,0,0
215,11/17/2022,,,,,,0,0,0
216,11/16/2022,,,,,,0,0,0
217,11/15/2022,,,,,,0,0,0
218,11/14/2022,,,,,,0,0,0
219,11/11/2022,,,,,,0,0,0
220,11/10/2022,,,,,,0,0,"2,782,500"
221,11/9/2022,,,,,,0,0,0
